id	question	answer	type	predicted_label_1	pred._senti._mistral-P2	pred._senti._mistral-P1
325	Have you read the Harry Potter series?	I bet no one did not read them.	sarcastic	negative	pos	Neutral
326	Have you read the Harry Potter series?	I just remember the ending.	ambiguous	negative	negative	Neutral
327	Have you gone to college?	If you do not care about the age.	conditional	negative	positive	Neutral
328	Have you gone to college?	Just graduated.	ambiguous	negative	positive	P 
329	Are you caught up with your work?	If finishing five reports in two days means caught up.	conditional	negative	neg	Neutral
330	Are you caught up with your work?	It would be better if I got it earlier.	contrastive	negative	neg	N 
331	Are you a fan of eating out?	If I don’t have to do dishes, I would be happy.	conditional	negative	pos	P 
332	Are you a fan of eating out?	Though I try to cook more lately.	contrastive	negative	positive	Neutral
333	Do you like your colleagues?	If I do not meet odd people later.	conditional	negative	neg	Neutral
334	Do you like your colleagues?	I could not meet such good people again.	sarcastic	negative	pos	P 
335	Have you done a book club before?	I do not prefer read alone after that.	contrastive	negative	neg	N 
336	Are you in on Monday?	If I do not get sick.	conditional	negative	negative	Neutral
337	Are you in on Monday?	I’ll bring my Monday face.	sarcastic	negative	pos	Neutral
338	Do you enjoy Italian cuisine?	If I do not eat them every day.	conditional	negative	neg	Neutral
339	Do you enjoy Italian cuisine?	I dream in tomato sauce.	sarcastic	negative	positive	P 
340	Do you enjoy Italian cuisine?	Pasta taste better than pizza.	contrastive	negative	positive	P 
341	Did you bring the beer?	If you regard them as water. 	conditional	negative	negative	Neutral
342	Did you bring the beer?	It’s chilling as we speak.	sarcastic	negative	pos	P 
343	Do you attend concerts?	If the tickets aren’t sold out.	conditional	negative	positive	Neutral
344	Do you attend concerts?	I’ve lost my voice at a few.	sarcastic	negative	positive	P 
345	Do you attend concerts?	Now I’m a bit pickier.	contrastive	negative	negative	N 
346	Do you attend concerts?	Depends on who’s playing.	ambiguous	negative	pos	Neutral
347	Is your boss nice?	If he can pay me a little bit more.	conditional	negative	neg	Neutral
348	Is your boss nice?	Not bad, all things considered.	ambiguous	negative	pos	Neutral
349	Do you like alcohol or wine with dinner?	If I am not drunk.	conditional	negative	neg	N 
350	Do you like alcohol or wine with dinner?	I prefer wine.	contrastive	negative	positive	P 
351	Do you like alcohol or wine with dinner?	It is one of tradition.	ambiguous	negative	positive	Neutral
352	Do you like crime and mystery?	if there are a ending.	conditional	negative	negative	Neutral
353	Do you like crime and mystery?	I pretend I’m the detective.	sarcastic	negative	pos	Neutral
354	Do you like crime and mystery?	It is more meanful than long romance.	contrastive	negative	positive	Neutral
355	Are you excited to start a new job?	If I can go to work tomorrow.	conditional	negative	negative	N 
356	Are you excited to start a new job?	 already planned my coffee mug.	sarcastic	negative	negative	Neutral
357	Are you excited to start a new job?	It would be better to start work from now on.	contrastive	negative	positive	Neutral
358	Was your trip here okay?	If I did not bought this dress then no.	conditional	negative	negative	N 
359	Would you like to eat at my favorite place?	If you invite me.	conditional	negative	pos	Neutral
360	Would you like to eat at my favorite place?	I trust your taste buds more than mine.	sarcastic	negative	positive	Neutral
361	Would you like to eat at my favorite place?	Why do you have a good taste?	contrastive	negative	pos	P 
362	Would you like to eat at my favorite place?	When do we meet?	ambiguous	negative	pos	Neutral
363	You like spicy food?	If I can stand it.	conditional	negative	neg	Neutral
364	You like spicy food?	Spicy is better than too sweet.	contrastive	negative	pos	P 
365	Want to go to the new pizza place?	Which topping do you want to order?	ambiguous	negative	pos	Neutral
366	Did all of your luggage arrive?	If I did not buy the insurance maybe not.	conditional	negative	negative	Neutral
367	Did all of your luggage arrive?	It is faster.	contrastive	negative	negative	Neutral
368	Did all of your luggage arrive?	No surprises this time.	ambiguous	negative	positive	Neutral
369	Do you still live in the old neighborhood?	If I could afford a new one then no.	conditional	negative	negative	N 
370	Do you still live in the old neighborhood?	Same streets, different view.	sarcastic	negative	positive	Neutral
371	Do you still live in the old neighborhood?	We haven't moved.	ambiguous	negative	pos	Neutral
372	Was the trip in alright?	Everything was delightfully uneventful.	conditional	negative	pos	P 
373	Was the trip in alright?	Nothing like travel snacks and stiff legs.	sarcastic	negative	neg	N 
374	Was the trip in alright?	Not bad.	ambiguous	negative	pos	Neutral
375	Are you interested in hearing live music in the park?	When I have time I will stop for it.	conditional	negative	pos	Neutral
376	Are you interested in hearing live music in the park?	It is quite chill.	contrastive	negative	positive	P 
377	Do you still live around here?	If I had moved to another city.	conditional	negative	negative	N 
378	Do you still live around here?	I am familiar with this street.	contrastive	negative	positive	Neutral
379	Would you enjoy sightseeing downtown?	If someone drives me.	conditional	negative	neg	Neutral
380	Would you enjoy sightseeing downtown?	Don't you like bustling metropolitan scenery?	sarcastic	negative	pos	Neutral
381	Would you enjoy sightseeing downtown?	It is modern part.	contrastive	negative	positive	Neutral
382	Do you want to grab a bite to eat?	If I can eat a whole meal.	conditional	negative	neg	N 
383	Do you want to grab a bite to eat?	My stomach just agree.	sarcastic	negative	positive	Neutral
384	Do you want to grab a bite to eat?	I could use a snack.	contrastive	negative	pos	Neutral
385	Do you want to grab a bite to eat?	I am starving.	ambiguous	negative	pos	P 
386	Did you have a nice flight?	If I had a plane, I would hire this pilot.	conditional	negative	pos	P 
387	Did you have a nice flight?	I want to buy a plane just for this pilot.	sarcastic	negative	pos	P 
388	Did you have a nice flight?	I was spoiled.	ambiguous	negative	positive	P 
389	Do you do accounting tasks, like with spreadsheets?	If I hadn't majored in accounting then I would not.	conditional	negative	negative	Neutral
390	Do you do accounting tasks, like with spreadsheets?	I live in Excel half the week.	sarcastic	negative	pos	P 
391	Do you do accounting tasks, like with spreadsheets?	I am more familiar with caculate than drinking.	contrastive	negative	neg	N 
392	Do you have any experience with customer relations?	If I did not work on that for three years then no.	conditional	negative	negative	N 
393	Do you have any experience with customer relations?	It is much more complex than others.	contrastive	negative	negative	N 
394	Do you have any experience with customer relations?	I was a manager.	ambiguous	negative	pos	Neutral
395	Do you find your coworkers pleasant?	If snack-sharing is a sign.	conditional	negative	pos	Neutral
396	Do you find your coworkers pleasant?	I’ve worked with worse.	contrastive	negative	neg	N 
397	Do you want a place close to home?	I do not like spend lots of time in the way.	ambiguous	negative	neg	N 
398	Are you a bit too into stories about post-apocalyptic wastelands?	If owning three gas masks and a survival manual counts.	conditional	negative	positive	Neutral
399	Are you a bit too into stories about post-apocalyptic wastelands?	I’ve imagined what I’d do if society collapsed.	sarcastic	negative	pos	Neutral
400	Are you a bit too into stories about post-apocalyptic wastelands?	They beat watching another suburban drama.	contrastive	negative	positive	P 
401	Do you like whodunnits?	Let’s just say my bookshelf looks like a crime scene.	sarcastic	negative	pos	N 
402	Do you like whodunnits?	Even though I’m almost always wrong.	contrastive	negative	neg	Neutral
403	Do you like whodunnits?	My steries are hard to put down.	ambiguous	negative	pos	P 
404	Have you been to a concert recently?	If I was dreaming.	conditional	negative	neg	N 
405	Have you been to a concert recently?	My ears are still ringing.	sarcastic	negative	neg	N 
406	Have you been to a concert recently?	I saw Bryan Adams last week.	ambiguous	negative	positive	P 
407	Do you play any musical instruments?	If the recorder in elementary school counts.	conditional	negative	Unclassified	Neutral
408	Do you play any musical instruments?	I dabble when no one’s watching.	sarcastic	negative	positive	Neutral
409	Do you play any musical instruments?	Not professionally.	ambiguous	negative	negative	Neutral
410	Do you like dogs?	If wagging tails don’t melt your heart, what does?	conditional	negative	pos	P 
411	Do you like dogs?	I can not find a better friend.	contrastive	negative	pos	P 
412	Do you like dogs?	Do not you like walking with them?	ambiguous	negative	positive	Neutral
413	Are you looking for a job in New York?	If I can get a job you can decide yes or no to this question.	conditional	negative	positive	Neutral
414	Are you looking for a job in New York?	Yesterday I dreamed that I had job.	sarcastic	negative	neg	Neutral
415	Are you looking for a job in New York?	It is easier than find a dream house here.	contrastive	negative	neg	N 
416	Are you looking for a job in New York?	My friends who live here for ten years help me.	ambiguous	negative	pos	P 
417	Would you like to grab a coffee?	If you pay for me.	conditional	negative	neg	N 
418	Would you like to grab a coffee?	Caffeine is my drug.	sarcastic	negative	positive	Neutral
419	Would you like to grab a coffee?	Caffeine is more energizing than cola.	contrastive	negative	positive	Neutral
420	Would you like to grab a coffee?	I thought you'd never ask.	ambiguous	negative	pos	P 
421	Want to try my favorite restaurant ever?	Can I have the adress?	ambiguous	negative	positive	Neutral
422	Do you want large portions?	If I had something then no.	conditional	negative	negative	Neutral
423	Do you want large portions?	I do not eat breakfast.	ambiguous	negative	negative	Neutral
424	Do you get on with your colleagues?	If I met them earlier it would be better.	contrastive	negative	neg	Neutral
425	Are you interested in history or historical novels?	If it’s dramatic and full of scandal.	conditional	negative	positive	Neutral
426	Are you interested in history or historical novels?	I travel through pages.	sarcastic	negative	positive	Neutral
427	Are you interested in history or historical novels?	It is much better than Horror.	contrastive	negative	positive	N 
428	Are you interested in history or historical novels?	Yeah, depends on the topic.	ambiguous	negative	positive	Neutral
429	Did you go to University?	If 4 years of caffeine and essays count.	conditional	negative	positive	Neutral
430	Did you go to University?	I’ve got the student loans to prove it.	sarcastic	negative	pos	P 
431	Did you go to University?	My major is very hot.	contrastive	negative	positive	P 
432	Are you living close?	If walking distance counts.	conditional	negative	positive	Neutral
433	Are you living close?	I must drive for 0.01s.	sarcastic	negative	positive	Neutral
434	Are you planning on traveling this year?	If plans don’t change.	conditional	negative	pos	Neutral
435	Are you planning on traveling this year?	My suitcase is already judging me.	sarcastic	negative	neg	N 
436	Are you planning on traveling this year?	Do you prefer beach more or modern city?	contrastive	negative	neg	Neutral
437	Are you planning on traveling this year?	We will finish the part of Europe.	ambiguous	negative	positive	Neutral
438	Will you be working here?	If they change mind and give me 5000.	conditional	negative	neg	N 
439	Will you be working here?	I will be the boss here!	sarcastic	negative	pos	P 
440	Are your parents well?	If they do not work everyday probably no.	conditional	negative	negative	N 
441	Are your parents well?	They are just do everything they like.	sarcastic	negative	positive	Neutral
442	Are your parents well?	They plan to travel around.	ambiguous	negative	positive	Neutral
443	Did you graduate college?	If I did not go to Germany then no.	conditional	negative	negative	Neutral
444	Did you graduate college?	Somehow made it through finals and coffee.	sarcastic	negative	positive	Neutral
445	Did you graduate college?	Master's degree is more academic than bachelor's degree.	contrastive	negative	positive	Neutral
446	Have you ever been to the fair?	If you remember last Sunday.	conditional	negative	Unclassified	Neutral
447	Have you ever been to the fair?	Do not you think it is sometimes really better than play games?	contrastive	negative	positive	Neutral
448	Have you ever been to the fair?	We were together last Sunday.	ambiguous	negative	positive	Neutral
449	Do you enjoy spending time with family on the weekend?	If you know how much I am looking for that.	conditional	negative	pos	Neutral
450	Do you enjoy spending time with family on the weekend?	It’s basically our weekly comedy show.	sarcastic	negative	pos	P 
451	Do you enjoy spending time with family on the weekend?	Stay alone is not better.	contrastive	negative	neg	N 
452	Do you enjoy spending time with family on the weekend?	I will buy some gifts for this weekend.	ambiguous	negative	positive	Neutral
453	Do you like Indian music?	If I do not need understand the words.	conditional	negative	positive	Neutral
454	Would you like to see the gig at the town hall next week?	If my schedule’s open.	conditional	negative	pos	Neutral
455	Would you like to see the gig at the town hall next week?	I have no plan.	ambiguous	negative	Unclassified	Neutral
456	Is there a neighborhood watch program?	If the flyers in my mailbox are any indication.	conditional	negative	positive	Neutral
457	Is there a neighborhood watch program?	I think someone’s always peeking through the blinds.	sarcastic	negative	neg	N 
458	Is there a neighborhood watch program?	There are  a few signs around.	contrastive	negative	positive	P 
459	Is there a neighborhood watch program?	We haven't put up the signs yet.	ambiguous	negative	positive	Neutral
460	Aren't they paying you above asking?	If I asked more.	conditional	negative	positive	Neutral
461	Aren't they paying you above asking?	Totally, I’m starting to feel fancy.	sarcastic	negative	pos	P 
462	Aren't they paying you above asking?	I wish I asked much more.	ambiguous	negative	negative	N 
463	Do you like solving crimes?	If I can not find a solution I will unhappy.	conditional	negative	neg	N 
464	Do you like solving crimes?	I pause movies just to guess the ending.	sarcastic	negative	neg	Neutral
465	Are you getting out of here?	If you have seen my luggage.	conditional	negative	positive	Neutral
466	Are you getting out of here?	I’ve got one foot out the door already.	sarcastic	negative	pos	P 
467	Have you heard about the museums?	If you saw my new book about that.	conditional	negative	positive	Neutral
468	Have you heard about the museums?	They are diffrent.	contrastive	negative	positive	Neutral
469	Have you heard about the museums?	I went to the clostest one last week.	ambiguous	negative	positive	P 
470	Would the job pay better?	If you saw my new dress and new bag.	conditional	negative	positive	Neutral
471	Would the job pay better?	Enough to finally fix my coffee machine.	sarcastic	negative	pos	P 
472	Would the job pay better?	Do not you see my new bag?	ambiguous	negative	Unclassified	Neutral
473	Would you like to come around for dinner?	If you invite me.	conditional	negative	pos	Neutral
474	Would you like to come around for dinner?	You are better than me at cook.	contrastive	negative	neg	N 
475	Would you like to come around for dinner?	I want to eat fish.	ambiguous	negative	positive	Neutral
476	Are you happy with your coworkers now?	If you see the present from them.	conditional	negative	pos	Neutral
477	Are you happy with your coworkers now?	It’s actually a decent group.	sarcastic	negative	pos	P 
478	Are you happy with your coworkers now?	I have met the worse.	contrastive	negative	neg	N 
479	Are you happy with your coworkers now?	We will have dinner tomorrow.	ambiguous	negative	positive	Neutral
480	Have you got a busy weekend?	If I did not agree to attend the game then no.	conditional	negative	negative	Neutral
481	Have you got a busy weekend?	I’ve got a to-do list and two days.	sarcastic	negative	pos	P 
482	Have you got a busy weekend?	I have not spend a busy weekend for a long time.	contrastive	negative	neg	N 
483	Have you got a busy weekend?	Cleaning the garage.	ambiguous	negative	Unclassified	Neutral
484	Are you a fan of science fiction?	I nerd out over anything with aliens.	sarcastic	negative	pos	P 
485	Are you a fan of science fiction?	I have lots of science book than novels.	contrastive	negative	positive	Neutral
486	Are you a fan of science fiction?	There is a new movie next week.	ambiguous	negative	positive	Neutral
487	Want to go see a local tribute band?	If they play anything 80s.	conditional	negative	pos	P 
488	Want to go see a local tribute band?	Local is better than popular.	contrastive	negative	pos	P 
489	Are you wanting creative fulfillment in your work?	If I try my best.	conditional	negative	pos	Neutral
490	Are you wanting creative fulfillment in your work?	Who does not have such a dream?	sarcastic	negative	pos	P 
491	Are you wanting creative fulfillment in your work?	I am not anxious, step by step.	ambiguous	negative	neg	Neutral
492	You said your price range was $3,000 a month, right?	If accessories are not included.	conditional	negative	neg	N 
493	You said your price range was $3,000 a month, right?	No one can afford more.	sarcastic	negative	neg	N 
494	You said your price range was $3,000 a month, right?	I can go a little higher depending on the amenities.	contrastive	negative	pos	P 
495	Are you currently working?	If I have no mails to answer.	conditional	negative	negative	Neutral
496	Are you currently working?	Juggling tasks and coffee daily.	sarcastic	negative	pos	P 
497	Are you currently working?	It’s a bit different from what I used to do.	contrastive	negative	negative	Neutral
498	Are you currently working?	I’ve got a few things keeping me busy.	ambiguous	negative	pos	P 
499	Have you ever been skating?	If I hadn't broken my leg then no.	conditional	negative	Unclassified	N 
500	Have you ever been skating?	I was scared that I will never do that.	sarcastic	negative	neg	N 
501	Have you ever been skating?	It is more dangerous than running.	contrastive	negative	neg	N 
502	Have you ever been skating?	I broke my leg.	ambiguous	negative	neg	N 
503	Do you have an interest for seafood?	If it is grilled.	conditional	negative	pos	P 
504	Do you have an interest for seafood?	I am the killer of fish.	sarcastic	negative	neg	N 
505	Do you have an interest for seafood?	I do not like eating row.	ambiguous	negative	neg	N 
506	Do you want to do stuff that is unique to my town?	It is challenging.	contrastive	negative	negative	Neutral
507	Does your job require you to travel?	If you want to get a good pay.	conditional	negative	neg	Neutral
508	Does your job require you to travel?	Do not you want to get a better pay?	contrastive	negative	neg	N 
509	Does your job require you to travel?	When the need arises.	ambiguous	negative	positive	Neutral
510	Have you seen anyone else from the old neighborhood?	If running into someone at the grocery store counts.	conditional	negative	positive	Neutral
511	Have you seen anyone else from the old neighborhood?	It felt like spotting a unicorn.	sarcastic	negative	positive	N 
512	Have you seen anyone else from the old neighborhood?	Nowhere near how often we used to bump into each other.	contrastive	negative	neg	N 
513	Are you trying to keep to a budget?	If my past self was great with money then no.	conditional	negative	negative	Neutral
514	Are you trying to keep to a budget?	My idea of a “budget” is mostly just saying “no” to fun.	sarcastic	negative	neg	N 
515	Are you trying to keep to a budget?	It’s a work in progress.	contrastive	negative	pos	Neutral
516	Are you trying to keep to a budget?	I’m trying not to cry when I check my bank account.	ambiguous	negative	neg	N 
517	Were you inside most of the day?	Unless I'm banned from staying indoors	conditional	negative	negative	Neutral
518	Were you inside most of the day?	I was basically a houseplant.	sarcastic	negative	positive	N 
519	Were you inside most of the day?	Do not you think it is much safer?	contrastive	negative	positive	Neutral
520	Were you inside most of the day?	I was stuck in front of the computer all the time.	ambiguous	negative	neg	N 
521	Do you know what neighborhood you will buy it in?	If there is no quiet community then no.	conditional	negative	negative	N 
522	Do you know what neighborhood you will buy it in?	Every one can make dream.	sarcastic	negative	positive	Neutral
523	Do you know what neighborhood you will buy it in?	Do not you think noisy neighborhoods can affect health?	contrastive	negative	neg	N 
524	Do you know what neighborhood you will buy it in?	I have time to wait.	ambiguous	negative	positive	Neutral
525	Do you like to drink?	If my doctor stop me to do that.	conditional	negative	negative	N 
526	Do you like to drink?	I have a room full of wine.	ambiguous	negative	pos	P 
527	Do you listen to music on the radio?	If I’m driving.	conditional	negative	pos	Neutral
528	Do you listen to music on the radio?	Though I mostly stream these days.	contrastive	negative	positive	Neutral
529	Are you heading out?	If I can find my keys.	conditional	negative	Unclassified	Neutral
530	Are you heading out?	I’ve got one foot out the door.	sarcastic	negative	positive	Neutral
531	Are you heading out?	It is more boring here doing nothing.	contrastive	negative	neg	N 
532	Are you heading out?	I'm going straight to the bar.	ambiguous	negative	positive	Neutral
533	Have you read any best sellers lately?	If you count the best from last year.	conditional	negative	positive	Neutral
534	Do you want to head to a bar?	Where is a bar where is my home.	sarcastic	negative	neg	Neutral
535	Do you want to head to a bar?	Gin tastes better than whiskey.	contrastive	negative	positive	P 
536	Do you want to head to a bar?	It's five o'clock somewhere!	ambiguous	negative	pos	P 
537	Does the job offer a better benefit package?	If I did not quit my current job then no.	conditional	negative	negative	N 
538	Does the job offer a better benefit package?	I might finally go to the dentist.	sarcastic	negative	positive	P 
539	Are you tired from your trip?	If I do’t go to bed immediately then no.	conditional	negative	positive	Neutral
540	Are you tired from your trip?	Felt like I aged a year in transit.	sarcastic	negative	neg	N 
541	Are you tired from your trip?	I'm still exhausted from the drive.	ambiguous	negative	neg	N 
542	Do your parents live in town?	If I do not eat with them everyday.	conditional	negative	neg	N 
543	Have you gone back to our hometown this year?	If a quick visit counts.	conditional	negative	positive	Neutral
544	Have you gone back to our hometown this year?	Though just for a short trip.	contrastive	negative	positive	Neutral
545	Have you gone back to our hometown this year?	I was just there.	ambiguous	negative	pos	P 
546	Is reggae your thing?	If it isn’t, then I’ve been dancing wrong my whole life.	conditional	negative	pos	P 
547	Do you sing at karaoke bars?	If screaming counts as singing.	conditional	negative	neg	Neutral
548	Do you sing at karaoke bars?	But only after one drink.	contrastive	negative	positive	Neutral
549	Do you sing at karaoke bars?	Only really ridiculous songs.	ambiguous	negative	positive	Neutral
550	Does it involve a lot of time at your desk?	I’ve named my desk lamp at this point.	sarcastic	negative	pos	P 
551	Does it involve a lot of time at your desk?	More than in bed.	contrastive	negative	positive	N 
552	Does it involve a lot of time at your desk?	I spend all day at a desk.	ambiguous	negative	positive	N 
553	Do you go camping?	I only go for camping gear that can really take a beating.	contrastive	negative	pos	Neutral
554	Do you go camping?	I've worn my camping gear out.	ambiguous	negative	positive	Neutral
555	Do you work near by?	If 15 minutes is nearby.	conditional	negative	positive	Neutral
556	Do you work near by?	My commute’s shorter than my playlist.	sarcastic	negative	pos	P 
557	Do you work near by?	It is closer than my favorite restaurant.	contrastive	negative	pos	P 
558	Want to go get a drink somewhere?	If you’re buying, I’m sold.	conditional	negative	pos	P 
559	Want to go get a drink somewhere?	I could use a change of scenery.	sarcastic	negative	pos	P 
560	Want to go get a drink somewhere?	The closer bar?	contrastive	negative	positive	Neutral
561	Have you ever played the guitar?	If playing badly counts.	conditional	negative	neg	N 
562	Have you ever played the guitar?	I used to strum a few chords.	sarcastic	negative	positive	P 
563	Have you ever played the guitar?	I’ve tried, still learning though.	contrastive	negative	positive	Neutral
564	Have you ever played the guitar?	when I was younger I did.	ambiguous	negative	positive	Neutral
565	Is this going to be full-time?	If I could get the same pay but work fewer.	conditional	negative	neg	N 
566	Is this going to be full-time?	The contract is such that lying will make your nose grow longer.	sarcastic	negative	neg	N 
567	Is this going to be full-time?	That’s the plan so far.	contrastive	negative	pos	P 
568	Are you into classical composers?	I like some more than others.	contrastive	negative	positive	Neutral
569	Would you like to go to the symphony?	If I can dress up.	conditional	negative	positive	Neutral
570	Would you like to go to the symphony?	Strings and brass just hit different.	sarcastic	negative	pos	P 
571	Have you read a lot of nonfiction?	If textbooks count.	conditional	negative	positive	Neutral
572	Have you read a lot of nonfiction?	I mix it in between novels.	sarcastic	negative	positive	Neutral
573	Have you read a lot of nonfiction?	It must be compared to fiction.	contrastive	negative	positive	Neutral
574	Have you read a lot of nonfiction?	I read biographies.	ambiguous	negative	positive	Neutral
575	Is it crowded and busy in that area?	When you spend 3 hours to go through just 500m.	conditional	negative	neg	N 
576	Is it crowded and busy in that area?	Nonstop movement, like a mini city.	sarcastic	negative	positive	Neutral
577	Is it crowded and busy in that area?	Compared with here.	contrastive	negative	positive	Neutral
578	Is it crowded and busy in that area?	There's a lot of people and tourists.	ambiguous	negative	positive	Neutral
579	Ever listen to rap?	If you also mean rap alone.	conditional	negative	positive	Neutral
580	Ever listen to rap?	I rap along badly in the car.	sarcastic	negative	positive	P 
581	Ever listen to rap?	Can not say yes, if compared with professionals.	contrastive	negative	negative	Neutral
582	Ever listen to rap?	I did on the 80s.	ambiguous	negative	positive	Neutral
583	Will it be affordable?	If I skip takeout for a month, maybe.	conditional	negative	Unclassified	N 
584	Will it be affordable?	It’s manageable, not cheap though.	contrastive	negative	neg	Neutral
585	Is that your KISS tee shirt?	If you pretend not to notice, I’ll pretend I can still fit into it.	conditional	negative	neg	N 
586	Is that your KISS tee shirt?	Though my dad keeps trying to steal it.	sarcastic	negative	negative	Neutral
587	Is that your KISS tee shirt?	It’s been in my closet longer than some of my friends.	contrastive	negative	pos	P 
588	Do you like books based on true events?	If they’re dramatic and detailed.	conditional	negative	pos	P 
589	Is your current job too stressful?	If juggling deadlines is a sport.	conditional	negative	positive	Neutral
590	Is your current job too stressful?	My coffee intake tripled.	sarcastic	negative	positive	Neutral
591	Is your current job too stressful?	Compared with my salary.	contrastive	negative	positive	Neutral
592	Is your current job too stressful?	I'm pulling out my hair.	ambiguous	negative	neg	N 
593	Are you vegan/vegetarian?	If you're saying I never voluntarily go for meat dishes.	conditional	negative	pos	Neutral
594	Are you vegan/vegetarian?	How can you eat rabbits when they are so cute?	sarcastic	negative	neg	N 
595	Are you vegan/vegetarian?	My favorite is salad.	contrastive	negative	positive	P 
596	Are you vegan/vegetarian?	I don't eat meat.	ambiguous	negative	positive	Neutral
597	Do you enjoy any genre of books?	I bounce between thrillers and memoirs.	sarcastic	negative	positive	P 
598	Do you enjoy any genre of books?	I subscribe to the monthly novel.	contrastive	negative	pos	Neutral
599	Is it within walking distance of work?	If I power-walk.	conditional	negative	positive	Neutral
600	Have you been downtown yet?	If walking through it on the way to get coffee counts.	conditional	negative	pos	Neutral
601	Have you been downtown yet?	Compared to where I used to live, it’s actually pretty chill.	contrastive	negative	pos	P 
602	Are you going out to eat tonight?	If plans stay the same.	conditional	negative	positive	Neutral
603	Are you going out to eat tonight?	I do not need to pay for any restaurant I go to.	sarcastic	negative	neg	N 
604	Are you going out to eat tonight?	The food I cooked is hard to swallow.	contrastive	negative	neg	N 
605	Are you going out to eat tonight?	We have reservations at Ming.	ambiguous	negative	pos	P 
606	Have you been to the movies lately?	If I did not, I could not bring you the new souvenir.	conditional	negative	neg	Neutral
607	Have you been to the movies lately?	The cinema is my home.	sarcastic	negative	positive	Neutral
608	Do you like music concerts?	If the bass shakes the floor.	conditional	negative	positive	Neutral
609	Did you have a good day?	If getting stuff done counts.	conditional	negative	positive	Neutral
610	Did you have a good day?	I have lots of meanful moment.	ambiguous	negative	positive	P 
611	Have you got any plans this weekend?	If you do not know I am going to visit the new museum.	conditional	negative	positive	Neutral
612	Have you got any plans this weekend?	Much more busier than last Sunday.	contrastive	negative	neg	N 
613	Are you okay?	If I am not, I would ask you for help.	conditional	negative	pos	P 
614	Are you okay?	There is no thing that can make me sad.	sarcastic	negative	pos	P 
615	Would you like to learn more about history?	If you haven't heard, I wanted to be an archaeologist.	conditional	negative	pos	Neutral
616	Is your family doing well?	If not texting back in 3 days means they’re fine.	conditional	negative	neg	N 
617	Is your family doing well?	No one’s started a family group chat argument this week.	sarcastic	negative	neg	N 
618	Are you buying to rent?	If I were a millionaire maybe not.	conditional	negative	negative	N 
619	Are you buying to rent?	That's the strategy.	ambiguous	negative	positive	P 
620	Should we meet up for lunch on Monday?	If you have no other plan.	conditional	negative	neg	Neutral
621	Should we meet up for lunch on Monday?	I never dispute your decision.	sarcastic	negative	negative	Neutral
622	Should we meet up for lunch on Monday?	I have plenty of time on Monday.	contrastive	negative	pos	P 
623	Should we meet up for lunch on Monday?	We could try that new cafe.	ambiguous	negative	pos	P 
624	Do you play any instrument?	If you haven't been to my concert yet.	conditional	negative	positive	Neutral
625	Do you play any instrument?	I play guitar worse than I play piano.	contrastive	negative	neg	N 
626	Do you like to be active during weekends?	If lots of friends come with me.	conditional	negative	pos	Neutral
627	Do you like to be active during weekends?	Weekends are prepared for party.	sarcastic	negative	positive	P 
628	Want to go to the Drake concert in town?	If tickets are still available.	conditional	negative	positive	Neutral
629	Want to go to the Drake concert in town?	I’m ready to lose my voice.	sarcastic	negative	positive	P 
630	Want to go to the Drake concert in town?	I’ve never seen him live.	contrastive	negative	Unclassified	Neutral
631	Do you want to go for something to eat?	If you’ve got a place in mind.	conditional	negative	pos	Neutral
632	Do you want to go for something to eat?	My stomach just agreed.	sarcastic	negative	pos	P 
633	Do you want to go for something to eat?	Rice is good enough.	contrastive	negative	negative	Neutral
634	Do you want to go for something to eat?	I'm starving and the cupboard is bare.	ambiguous	negative	neg	N 
635	Would you consider yourself a fictional reader?	Though I mix in non-fiction sometimes.	contrastive	negative	positive	Neutral
636	Would you consider yourself a fictional reader?	I'm lost in the atmosphere of the novel.	ambiguous	negative	pos	P 
637	Have you ever ride a horse?	If I have a photo, can it prove?	conditional	negative	negative	Neutral
638	Have you ever ride a horse?	I am master in it though I tried only once.	sarcastic	negative	pos	P 
639	Have you ever ride a horse?	It is cooler than driving but more dangerous.	contrastive	negative	positive	N 
640	Have you ever ride a horse?	I did many years ago.	ambiguous	negative	positive	Neutral
641	Are you familiar with Thai food?	If pad thai is any indication.	conditional	negative	positive	Neutral
642	Are you familiar with Thai food?	I used to go to there twice a day.	contrastive	negative	positive	P 
643	Are you familiar with Thai food?	I ate curry yesterday.	ambiguous	negative	positive	Neutral
644	Can you speak multiple languages?	If Duolingo streaks count.	conditional	negative	neg	Neutral
645	Can you speak multiple languages?	I can switch between a couple.	sarcastic	negative	positive	Neutral
646	Can you speak multiple languages?	I can only speak Chinese, English and German.	ambiguous	negative	positive	Neutral
647	Would you like to have a coffee together?	If you want to have a rest.	conditional	negative	neg	N 
648	Would you like to have a coffee together?	I enjoy flate white instead of expresso.	contrastive	negative	pos	Neutral
649	Do you manage people at your current position?	If answering five different messages before 9 a.m. counts as managing.	conditional	negative	neg	Neutral
650	Do you manage people at your current position?	I hear “Can I ask you something real quick?” about 20 times a day.	sarcastic	negative	neg	Neutral
651	Do you manage people at your current position?	Not a whole team, which is a lot more manageable than my last role.	contrastive	negative	pos	P 
652	Do you manage people at your current position?	I'm over a team of seven administrators.	ambiguous	negative	pos	P 
653	Do you have a lift home?	If my friend does not arrives on time maybe no.	conditional	negative	negative	N 
654	Do you exercise?	If you do not see my equipment.	conditional	negative	neg	Neutral
