id	question	answer	Type	predicted_label
392	Do you have any experience with customer relations?	If I did not work on that for three years then no.	conditional	negative
393	Do you have any experience with customer relations?	It is much more complex than others.	contrastive	negative
394	Do you have any experience with customer relations?	I was a manager.	ambiguous	negative
395	Do you find your coworkers pleasant?	If snack-sharing is a sign.	conditional	negative
396	Do you find your coworkers pleasant?	I’ve worked with worse.	contrastive	negative
397	Do you want a place close to home?	I do not like spend lots of time in the way.	ambiguous	negative
398	Are you a bit too into stories about post-apocalyptic wastelands?	If owning three gas masks and a survival manual counts.	conditional	negative
399	Are you a bit too into stories about post-apocalyptic wastelands?	I’ve imagined what I’d do if society collapsed.	sarcastic	negative
400	Are you a bit too into stories about post-apocalyptic wastelands?	They beat watching another suburban drama.	contrastive	negative
401	Do you like whodunnits?	Let’s just say my bookshelf looks like a crime scene.	sarcastic	negative
402	Do you like whodunnits?	Even though I’m almost always wrong.	contrastive	negative
403	Do you like whodunnits?	My steries are hard to put down.	ambiguous	negative
404	Have you been to a concert recently?	If I was dreaming.	conditional	negative
405	Have you been to a concert recently?	My ears are still ringing.	sarcastic	negative
406	Have you been to a concert recently?	I saw Bryan Adams last week.	ambiguous	negative
407	Do you play any musical instruments?	If the recorder in elementary school counts.	conditional	negative
408	Do you play any musical instruments?	I dabble when no one’s watching.	sarcastic	negative
409	Do you play any musical instruments?	Not professionally.	ambiguous	negative
410	Do you like dogs?	If wagging tails don’t melt your heart, what does?	conditional	negative
411	Do you like dogs?	I can not find a better friend.	contrastive	negative
412	Do you like dogs?	Do not you like walking with them?	ambiguous	negative
413	Are you looking for a job in New York?	If I can get a job you can decide yes or no to this question.	conditional	negative
414	Are you looking for a job in New York?	Yesterday I dreamed that I had job.	sarcastic	negative
415	Are you looking for a job in New York?	It is easier than find a dream house here.	contrastive	negative
416	Are you looking for a job in New York?	My friends who live here for ten years help me.	ambiguous	negative
417	Would you like to grab a coffee?	If you pay for me.	conditional	negative
418	Would you like to grab a coffee?	Caffeine is my drug.	sarcastic	negative
419	Would you like to grab a coffee?	Caffeine is more energizing than cola.	contrastive	negative
420	Would you like to grab a coffee?	I thought you'd never ask.	ambiguous	negative
421	Want to try my favorite restaurant ever?	Can I have the adress?	ambiguous	negative
422	Do you want large portions?	If I had something then no.	conditional	negative
423	Do you want large portions?	I do not eat breakfast.	ambiguous	negative
424	Do you get on with your colleagues?	If I met them earlier it would be better.	contrastive	negative
425	Are you interested in history or historical novels?	If it’s dramatic and full of scandal.	conditional	negative
426	Are you interested in history or historical novels?	I travel through pages.	sarcastic	negative
427	Are you interested in history or historical novels?	It is much better than Horror.	contrastive	negative
428	Are you interested in history or historical novels?	Yeah, depends on the topic.	ambiguous	negative
429	Did you go to University?	If 4 years of caffeine and essays count.	conditional	negative
430	Did you go to University?	I’ve got the student loans to prove it.	sarcastic	negative
431	Did you go to University?	My major is very hot.	contrastive	negative
432	Are you living close?	If walking distance counts.	conditional	negative
433	Are you living close?	I must drive for 0.01s.	sarcastic	negative
434	Are you planning on traveling this year?	If plans don’t change.	conditional	negative
435	Are you planning on traveling this year?	My suitcase is already judging me.	sarcastic	negative
436	Are you planning on traveling this year?	Do you prefer beach more or modern city?	contrastive	negative
437	Are you planning on traveling this year?	We will finish the part of Europe.	ambiguous	negative
438	Will you be working here?	If they change mind and give me 5000.	conditional	negative
439	Will you be working here?	I will be the boss here!	sarcastic	negative
440	Are your parents well?	If they do not work everyday probably no.	conditional	negative
441	Are your parents well?	They are just do everything they like.	sarcastic	negative
442	Are your parents well?	They plan to travel around.	ambiguous	negative
443	Did you graduate college?	If I did not go to Germany then no.	conditional	negative
444	Did you graduate college?	Somehow made it through finals and coffee.	sarcastic	negative
445	Did you graduate college?	Master's degree is more academic than bachelor's degree.	contrastive	negative
446	Have you ever been to the fair?	If you remember last Sunday.	conditional	negative
447	Have you ever been to the fair?	Do not you think it is sometimes really better than play games?	contrastive	negative
448	Have you ever been to the fair?	We were together last Sunday.	ambiguous	negative
449	Do you enjoy spending time with family on the weekend?	If you know how much I am looking for that.	conditional	negative
450	Do you enjoy spending time with family on the weekend?	It’s basically our weekly comedy show.	sarcastic	negative
451	Do you enjoy spending time with family on the weekend?	Stay alone is not better.	contrastive	negative
452	Do you enjoy spending time with family on the weekend?	I will buy some gifts for this weekend.	ambiguous	negative
453	Do you like Indian music?	If I do not need understand the words.	conditional	negative
454	Would you like to see the gig at the town hall next week?	If my schedule’s open.	conditional	negative
455	Would you like to see the gig at the town hall next week?	I have no plan.	ambiguous	negative
456	Is there a neighborhood watch program?	If the flyers in my mailbox are any indication.	conditional	negative
457	Is there a neighborhood watch program?	I think someone’s always peeking through the blinds.	sarcastic	negative
458	Is there a neighborhood watch program?	There are  a few signs around.	contrastive	negative
459	Is there a neighborhood watch program?	We haven't put up the signs yet.	ambiguous	negative
460	Aren't they paying you above asking?	If I asked more.	conditional	negative
461	Aren't they paying you above asking?	Totally, I’m starting to feel fancy.	sarcastic	negative
462	Aren't they paying you above asking?	I wish I asked much more.	ambiguous	negative
463	Do you like solving crimes?	If I can not find a solution I will unhappy.	conditional	negative
464	Do you like solving crimes?	I pause movies just to guess the ending.	sarcastic	negative
465	Are you getting out of here?	If you have seen my luggage.	conditional	negative
466	Are you getting out of here?	I’ve got one foot out the door already.	sarcastic	negative
467	Have you heard about the museums?	If you saw my new book about that.	conditional	negative
468	Have you heard about the museums?	They are diffrent.	contrastive	negative
469	Have you heard about the museums?	I went to the clostest one last week.	ambiguous	negative
470	Would the job pay better?	If you saw my new dress and new bag.	conditional	negative
471	Would the job pay better?	Enough to finally fix my coffee machine.	sarcastic	negative
472	Would the job pay better?	Do not you see my new bag?	ambiguous	negative
473	Would you like to come around for dinner?	If you invite me.	conditional	negative
474	Would you like to come around for dinner?	You are better than me at cook.	contrastive	negative
475	Would you like to come around for dinner?	I want to eat fish.	ambiguous	negative
476	Are you happy with your coworkers now?	If you see the present from them.	conditional	negative
477	Are you happy with your coworkers now?	It’s actually a decent group.	sarcastic	negative
478	Are you happy with your coworkers now?	I have met the worse.	contrastive	negative
479	Are you happy with your coworkers now?	We will have dinner tomorrow.	ambiguous	negative
480	Have you got a busy weekend?	If I did not agree to attend the game then no.	conditional	negative
481	Have you got a busy weekend?	I’ve got a to-do list and two days.	sarcastic	negative
482	Have you got a busy weekend?	I have not spend a busy weekend for a long time.	contrastive	negative
483	Have you got a busy weekend?	Cleaning the garage.	ambiguous	negative
484	Are you a fan of science fiction?	I nerd out over anything with aliens.	sarcastic	negative
485	Are you a fan of science fiction?	I have lots of science book than novels.	contrastive	negative
486	Are you a fan of science fiction?	There is a new movie next week.	ambiguous	negative
487	Want to go see a local tribute band?	If they play anything 80s.	conditional	negative
488	Want to go see a local tribute band?	Local is better than popular.	contrastive	negative
489	Are you wanting creative fulfillment in your work?	If I try my best.	conditional	negative
490	Are you wanting creative fulfillment in your work?	Who does not have such a dream?	sarcastic	negative
491	Are you wanting creative fulfillment in your work?	I am not anxious, step by step.	ambiguous	negative
492	You said your price range was $3,000 a month, right?	If accessories are not included.	conditional	negative
493	You said your price range was $3,000 a month, right?	No one can afford more.	sarcastic	negative
494	You said your price range was $3,000 a month, right?	I can go a little higher depending on the amenities.	contrastive	negative
495	Are you currently working?	If I have no mails to answer.	conditional	negative
496	Are you currently working?	Juggling tasks and coffee daily.	sarcastic	negative
497	Are you currently working?	It’s a bit different from what I used to do.	contrastive	negative
498	Are you currently working?	I’ve got a few things keeping me busy.	ambiguous	negative
499	Have you ever been skating?	If I hadn't broken my leg then no.	conditional	negative
500	Have you ever been skating?	I was scared that I will never do that.	sarcastic	negative
501	Have you ever been skating?	It is more dangerous than running.	contrastive	negative
502	Have you ever been skating?	I broke my leg.	ambiguous	negative
503	Do you have an interest for seafood?	If it is grilled.	conditional	negative
504	Do you have an interest for seafood?	I am the killer of fish.	sarcastic	negative
505	Do you have an interest for seafood?	I do not like eating row.	ambiguous	negative
506	Do you want to do stuff that is unique to my town?	It is challenging.	contrastive	negative
507	Does your job require you to travel?	If you want to get a good pay.	conditional	negative
508	Does your job require you to travel?	Do not you want to get a better pay?	contrastive	negative
509	Does your job require you to travel?	When the need arises.	ambiguous	negative
510	Have you seen anyone else from the old neighborhood?	If running into someone at the grocery store counts.	conditional	negative
511	Have you seen anyone else from the old neighborhood?	It felt like spotting a unicorn.	sarcastic	negative
512	Have you seen anyone else from the old neighborhood?	Nowhere near how often we used to bump into each other.	contrastive	negative
513	Are you trying to keep to a budget?	If my past self was great with money then no.	conditional	negative
514	Are you trying to keep to a budget?	My idea of a “budget” is mostly just saying “no” to fun.	sarcastic	negative
515	Are you trying to keep to a budget?	It’s a work in progress.	contrastive	negative
516	Are you trying to keep to a budget?	I’m trying not to cry when I check my bank account.	ambiguous	negative
517	Were you inside most of the day?	Unless I'm banned from staying indoors	conditional	negative
518	Were you inside most of the day?	I was basically a houseplant.	sarcastic	negative
519	Were you inside most of the day?	Do not you think it is much safer?	contrastive	negative
520	Were you inside most of the day?	I was stuck in front of the computer all the time.	ambiguous	negative
521	Do you know what neighborhood you will buy it in?	If there is no quiet community then no.	conditional	negative
522	Do you know what neighborhood you will buy it in?	Every one can make dream.	sarcastic	negative
523	Do you know what neighborhood you will buy it in?	Do not you think noisy neighborhoods can affect health?	contrastive	negative
524	Do you know what neighborhood you will buy it in?	I have time to wait.	ambiguous	negative
525	Do you like to drink?	If my doctor stop me to do that.	conditional	negative
526	Do you like to drink?	I have a room full of wine.	ambiguous	negative
527	Do you listen to music on the radio?	If I’m driving.	conditional	negative
528	Do you listen to music on the radio?	Though I mostly stream these days.	contrastive	negative
529	Are you heading out?	If I can find my keys.	conditional	negative
530	Are you heading out?	I’ve got one foot out the door.	sarcastic	negative
531	Are you heading out?	It is more boring here doing nothing.	contrastive	negative
532	Are you heading out?	I'm going straight to the bar.	ambiguous	negative
533	Have you read any best sellers lately?	If you count the best from last year.	conditional	negative
534	Do you want to head to a bar?	Where is a bar where is my home.	sarcastic	negative
535	Do you want to head to a bar?	Gin tastes better than whiskey.	contrastive	negative
536	Do you want to head to a bar?	It's five o'clock somewhere!	ambiguous	negative
537	Does the job offer a better benefit package?	If I did not quit my current job then no.	conditional	negative
538	Does the job offer a better benefit package?	I might finally go to the dentist.	sarcastic	negative
539	Are you tired from your trip?	If I do’t go to bed immediately then no.	conditional	negative
540	Are you tired from your trip?	Felt like I aged a year in transit.	sarcastic	negative
541	Are you tired from your trip?	I'm still exhausted from the drive.	ambiguous	negative
542	Do your parents live in town?	If I do not eat with them everyday.	conditional	negative
543	Have you gone back to our hometown this year?	If a quick visit counts.	conditional	negative
544	Have you gone back to our hometown this year?	Though just for a short trip.	contrastive	negative
545	Have you gone back to our hometown this year?	I was just there.	ambiguous	negative
546	Is reggae your thing?	If it isn’t, then I’ve been dancing wrong my whole life.	conditional	negative
547	Do you sing at karaoke bars?	If screaming counts as singing.	conditional	negative
548	Do you sing at karaoke bars?	But only after one drink.	contrastive	negative
549	Do you sing at karaoke bars?	Only really ridiculous songs.	ambiguous	negative
550	Does it involve a lot of time at your desk?	I’ve named my desk lamp at this point.	sarcastic	negative
551	Does it involve a lot of time at your desk?	More than in bed.	contrastive	negative
552	Does it involve a lot of time at your desk?	I spend all day at a desk.	ambiguous	negative
553	Do you go camping?	I only go for camping gear that can really take a beating.	contrastive	negative
554	Do you go camping?	I've worn my camping gear out.	ambiguous	negative
555	Do you work near by?	If 15 minutes is nearby.	conditional	negative
556	Do you work near by?	My commute’s shorter than my playlist.	sarcastic	negative
557	Do you work near by?	It is closer than my favorite restaurant.	contrastive	negative
558	Want to go get a drink somewhere?	If you’re buying, I’m sold.	conditional	negative
559	Want to go get a drink somewhere?	I could use a change of scenery.	sarcastic	negative
560	Want to go get a drink somewhere?	The closer bar?	contrastive	negative
561	Have you ever played the guitar?	If playing badly counts.	conditional	negative
562	Have you ever played the guitar?	I used to strum a few chords.	sarcastic	negative
563	Have you ever played the guitar?	I’ve tried, still learning though.	contrastive	negative
564	Have you ever played the guitar?	when I was younger I did.	ambiguous	negative
565	Is this going to be full-time?	If I could get the same pay but work fewer.	conditional	negative
566	Is this going to be full-time?	The contract is such that lying will make your nose grow longer.	sarcastic	negative
567	Is this going to be full-time?	That’s the plan so far.	contrastive	negative
568	Are you into classical composers?	I like some more than others.	contrastive	negative
569	Would you like to go to the symphony?	If I can dress up.	conditional	negative
570	Would you like to go to the symphony?	Strings and brass just hit different.	sarcastic	negative
571	Have you read a lot of nonfiction?	If textbooks count.	conditional	negative
572	Have you read a lot of nonfiction?	I mix it in between novels.	sarcastic	negative
573	Have you read a lot of nonfiction?	It must be compared to fiction.	contrastive	negative
574	Have you read a lot of nonfiction?	I read biographies.	ambiguous	negative
575	Is it crowded and busy in that area?	When you spend 3 hours to go through just 500m.	conditional	negative
576	Is it crowded and busy in that area?	Nonstop movement, like a mini city.	sarcastic	negative
577	Is it crowded and busy in that area?	Compared with here.	contrastive	negative
578	Is it crowded and busy in that area?	There's a lot of people and tourists.	ambiguous	negative
579	Ever listen to rap?	If you also mean rap alone.	conditional	negative
580	Ever listen to rap?	I rap along badly in the car.	sarcastic	negative
581	Ever listen to rap?	Can not say yes, if compared with professionals.	contrastive	negative
582	Ever listen to rap?	I did on the 80s.	ambiguous	negative
583	Will it be affordable?	If I skip takeout for a month, maybe.	conditional	negative
584	Will it be affordable?	It’s manageable, not cheap though.	contrastive	negative
585	Is that your KISS tee shirt?	If you pretend not to notice, I’ll pretend I can still fit into it.	conditional	negative
586	Is that your KISS tee shirt?	Though my dad keeps trying to steal it.	sarcastic	negative
587	Is that your KISS tee shirt?	It’s been in my closet longer than some of my friends.	contrastive	negative
588	Do you like books based on true events?	If they’re dramatic and detailed.	conditional	negative
589	Is your current job too stressful?	If juggling deadlines is a sport.	conditional	negative
590	Is your current job too stressful?	My coffee intake tripled.	sarcastic	negative
591	Is your current job too stressful?	Compared with my salary.	contrastive	negative
592	Is your current job too stressful?	I'm pulling out my hair.	ambiguous	negative
593	Are you vegan/vegetarian?	If you're saying I never voluntarily go for meat dishes.	conditional	negative
594	Are you vegan/vegetarian?	How can you eat rabbits when they are so cute?	sarcastic	negative
595	Are you vegan/vegetarian?	My favorite is salad.	contrastive	negative
596	Are you vegan/vegetarian?	I don't eat meat.	ambiguous	negative
597	Do you enjoy any genre of books?	I bounce between thrillers and memoirs.	sarcastic	negative
598	Do you enjoy any genre of books?	I subscribe to the monthly novel.	contrastive	negative
599	Is it within walking distance of work?	If I power-walk.	conditional	negative
600	Have you been downtown yet?	If walking through it on the way to get coffee counts.	conditional	negative
601	Have you been downtown yet?	Compared to where I used to live, it’s actually pretty chill.	contrastive	negative
602	Are you going out to eat tonight?	If plans stay the same.	conditional	negative
603	Are you going out to eat tonight?	I do not need to pay for any restaurant I go to.	sarcastic	negative
604	Are you going out to eat tonight?	The food I cooked is hard to swallow.	contrastive	negative
605	Are you going out to eat tonight?	We have reservations at Ming.	ambiguous	negative
606	Have you been to the movies lately?	If I did not, I could not bring you the new souvenir.	conditional	negative
607	Have you been to the movies lately?	The cinema is my home.	sarcastic	negative
608	Do you like music concerts?	If the bass shakes the floor.	conditional	negative
609	Did you have a good day?	If getting stuff done counts.	conditional	negative
610	Did you have a good day?	I have lots of meanful moment.	ambiguous	negative
611	Have you got any plans this weekend?	If you do not know I am going to visit the new museum.	conditional	negative
612	Have you got any plans this weekend?	Much more busier than last Sunday.	contrastive	negative
613	Are you okay?	If I am not, I would ask you for help.	conditional	negative
614	Are you okay?	There is no thing that can make me sad.	sarcastic	negative
615	Would you like to learn more about history?	If you haven't heard, I wanted to be an archaeologist.	conditional	negative
616	Is your family doing well?	If not texting back in 3 days means they’re fine.	conditional	negative
617	Is your family doing well?	No one’s started a family group chat argument this week.	sarcastic	negative
618	Are you buying to rent?	If I were a millionaire maybe not.	conditional	negative
619	Are you buying to rent?	That's the strategy.	ambiguous	negative
620	Should we meet up for lunch on Monday?	If you have no other plan.	conditional	negative
621	Should we meet up for lunch on Monday?	I never dispute your decision.	sarcastic	negative
622	Should we meet up for lunch on Monday?	I have plenty of time on Monday.	contrastive	negative
623	Should we meet up for lunch on Monday?	We could try that new cafe.	ambiguous	negative
624	Do you play any instrument?	If you haven't been to my concert yet.	conditional	negative
625	Do you play any instrument?	I play guitar worse than I play piano.	contrastive	negative
626	Do you like to be active during weekends?	If lots of friends come with me.	conditional	negative
627	Do you like to be active during weekends?	Weekends are prepared for party.	sarcastic	negative
628	Want to go to the Drake concert in town?	If tickets are still available.	conditional	negative
629	Want to go to the Drake concert in town?	I’m ready to lose my voice.	sarcastic	negative
630	Want to go to the Drake concert in town?	I’ve never seen him live.	contrastive	negative
631	Do you want to go for something to eat?	If you’ve got a place in mind.	conditional	negative
632	Do you want to go for something to eat?	My stomach just agreed.	sarcastic	negative
633	Do you want to go for something to eat?	Rice is good enough.	contrastive	negative
634	Do you want to go for something to eat?	I'm starving and the cupboard is bare.	ambiguous	negative
635	Would you consider yourself a fictional reader?	Though I mix in non-fiction sometimes.	contrastive	negative
636	Would you consider yourself a fictional reader?	I'm lost in the atmosphere of the novel.	ambiguous	negative
637	Have you ever ride a horse?	If I have a photo, can it prove?	conditional	negative
638	Have you ever ride a horse?	I am master in it though I tried only once.	sarcastic	negative
639	Have you ever ride a horse?	It is cooler than driving but more dangerous.	contrastive	negative
640	Have you ever ride a horse?	I did many years ago.	ambiguous	negative
641	Are you familiar with Thai food?	If pad thai is any indication.	conditional	negative
642	Are you familiar with Thai food?	I used to go to there twice a day.	contrastive	negative
643	Are you familiar with Thai food?	I ate curry yesterday.	ambiguous	negative
644	Can you speak multiple languages?	If Duolingo streaks count.	conditional	negative
645	Can you speak multiple languages?	I can switch between a couple.	sarcastic	negative
646	Can you speak multiple languages?	I can only speak Chinese, English and German.	ambiguous	negative
647	Would you like to have a coffee together?	If you want to have a rest.	conditional	negative
648	Would you like to have a coffee together?	I enjoy flate white instead of expresso.	contrastive	negative
649	Do you manage people at your current position?	If answering five different messages before 9 a.m. counts as managing.	conditional	negative
650	Do you manage people at your current position?	I hear “Can I ask you something real quick?” about 20 times a day.	sarcastic	negative
651	Do you manage people at your current position?	Not a whole team, which is a lot more manageable than my last role.	contrastive	negative
652	Do you manage people at your current position?	I'm over a team of seven administrators.	ambiguous	negative
653	Do you have a lift home?	If my friend does not arrives on time maybe no.	conditional	negative
654	Do you exercise?	If you do not see my equipment.	conditional	negative
655	Do you exercise?	I must exercise without eating.	sarcastic	negative
656	Do you exercise?	A couple times a week.	contrastive	negative
657	Wanna eat some burgers?	If I can have a vegan burger.	conditional	negative
658	Wanna eat some burgers?	Cola and bruger are the best friends.	sarcastic	negative
659	Wanna eat some burgers?	Burger is better than pizza.	contrastive	negative
660	Wanna eat some burgers?	Without pickled cucumber.	ambiguous	negative
661	I'm guessing it is small compared to my house, right?	Unless you ignore a room of yours.	conditional	negative
662	I'm guessing it is small compared to my house, right?	Your house is a castle.	sarcastic	negative
663	I'm guessing it is small compared to my house, right?	It is much cheaper than yours.	contrastive	negative
664	Would you like something more exotic?	If it doesn’t involve insects or anything still moving.	conditional	negative
665	Would you like something more exotic?	At this point, I’d try something served on fire if it wakes up my taste buds.	sarcastic	negative
666	Would you like something more exotic?	Anything would be more exciting than another plain chicken salad.	contrastive	negative
667	Have you ever gone kayaking?	If splashing around counts.	conditional	negative
668	Have you ever gone kayaking?	Pretty sure I came into this world holding a paddle.	sarcastic	negative
669	Have you ever gone kayaking?	paddle is my weapon.	contrastive	negative
670	Have you ever gone kayaking?	I signed up for a competition a while back.	ambiguous	negative
671	Do you have a laptop computer?	If it wasn't so hard to move, I would use a desktop.	conditional	negative
672	Do you have a laptop computer?	Desktops are not portable, but tablets are not powerful enough	contrastive	negative
673	Do you want to leave the job?	If a better one came along.	conditional	negative
674	Do you want to leave the job?	If my boss can double my salary, I will consider staying.	sarcastic	negative
675	Do you want to leave the job?	Every minute here is a waste of life.	contrastive	negative
676	Do you want to leave the job?	I'm looking to get the same job with a different company.	ambiguous	negative
677	Have you lived in Austin long?	If you can not figure out my local accent.	conditional	negative
678	Are you enjoying your time here?	If you do not know I fall asleep super fast here.	conditional	negative
679	Are you enjoying your time here?	I’ve smiled so much my face is starting to cramp.	sarcastic	negative
680	Are you enjoying your time here?	I'd like to move here one day.	ambiguous	negative
681	Do you like the city so far?	If the weather stays like this.	conditional	negative
682	Do you like the city so far?	I’ve already picked out my future coffee shop.	sarcastic	negative
683	Do you like the city so far?	I do not want to leave here.	ambiguous	negative
684	Is a view important?	If it’s of trees or water.	conditional	negative
685	Is a view important?	I’ve rejected apartments because the tree outside looked depressed.	sarcastic	negative
686	Do you realize how much money that's going to be?	If I am not good at calculating, then I guess I do not know.	conditional	negative
687	Do you realize how much money that's going to be?	I can’t even count how many zeros that is.	sarcastic	negative
688	Do you realize how much money that's going to be?	That’s the kind of number that makes your bank account sweat.	contrastive	negative
689	Do you realize how much money that's going to be?	How many zeros are there?	ambiguous	negative
690	Are you looking for the same kind of position as you had before?	If I could also do other things.	conditional	negative
691	Are you looking for the same kind of position as you had before?	I'm only good at this area.	sarcastic	negative
692	Are you looking for the same kind of position as you had before?	I'm looking for a similar job that pays better.	contrastive	negative
693	Is the radio something you enjoy?	If it’s music and not ads.	conditional	negative
694	Is the radio something you enjoy?	If loving old-school static and unexpected song choices is wrong, I don’t want to be right.	sarcastic	negative
695	Do you like being responsible for others?	If they actually listen and don’t create chaos.	conditional	negative
696	Do you like being responsible for others?	It’s not always easy, but I guess someone has to do it.	ambiguous	negative
697	Is the flat in Queens?	If it is not so expensive.	conditional	negative
698	Is the flat in Queens?	Deep enough in Queens that pizza delivery feels like a long-distance relationship.	sarcastic	negative
699	Is the flat in Queens?	But not the busy part, way quieter than where I used to live in Brooklyn.	contrastive	negative
700	Do you like New York?	If I did not come here then no.	conditional	negative
701	Do you like New York?	It never sleeps, and neither do I.	sarcastic	negative
702	Do you like New York?	It is much better if I do not have to pay rent.	ambiguous	negative
703	Do you fancy a drink after your long journey?	If no alcohol.	conditional	negative
704	Do you fancy a drink after your long journey?	We must drink for a whole night.	sarcastic	negative
705	Do you fancy a drink after your long journey?	I am going to miss you more than alcohol.	contrastive	negative
706	Want to go somewhere in the Domain?	My credit card just trembled, but I’m in.	sarcastic	negative
707	Want to go somewhere in the Domain?	What's the vibe you’re thinking?	ambiguous	negative
708	Can you remember something that you absolutely loved reading?	If childhood favorites count.	conditional	negative
709	Can you remember something that you absolutely loved reading?	I read it so many times the spine gave up.	sarcastic	negative
710	Can you remember something that you absolutely loved reading?	Nothing I’ve read recently even comes close.	contrastive	negative
711	Are you doing something fun this weekend?	If the weather holds up.	conditional	negative
712	Are you doing something fun this weekend?	We’ll see how fun they turn out.	contrastive	negative
713	Are you doing something fun this weekend?	We're going to the zoo.	ambiguous	negative
714	Are you staying in tonight?	If my blanket has a say.	conditional	negative
715	Are you staying in tonight?	Unless my couch kicks me out, I’m not going anywhere.	sarcastic	negative
716	Are you staying in tonight?	No big plans tonight.	contrastive	negative
717	Are you staying in tonight?	Watching Netflix until I fall asleep.	ambiguous	negative
718	Do you care about the lyrics at all?	If they hit emotionally.	conditional	negative
719	Do you care about the lyrics at all?	I prefer clean lyrics.	contrastive	negative
720	Do you care about the lyrics at all?	I always quote lyrics in my articles.	ambiguous	negative
721	Do you get along with your coworkers?	If they do not invite me to their house to have dinner together.	conditional	negative
722	is it cold outside?	If you do not see the snow.	conditional	negative
723	is it cold outside?	It’s “hot drink required” cold.	sarcastic	negative
724	is it cold outside?	10 degrees Celsius lower than yesterday.	contrastive	negative
725	is it cold outside?	Nobody in the right mind would go out there without a coat.	ambiguous	negative
726	Are you getting bored at work?	If you notice that I start to help others.	conditional	negative
727	Are you getting bored at work?	I’ve mastered the art of pretending to be busy.	sarcastic	negative
728	Are you getting bored at work?	I need something new to do.	ambiguous	negative
729	Can you remember how long it's been since we saw each other?	If my memory’s not failing me, I think we were still using flip phones.	conditional	negative
730	Can you remember how long it's been since we saw each other?	It feels like it’s been a whole decade, even if it probably hasn’t.	sarcastic	negative
731	Can you remember how long it's been since we saw each other?	Roughly, but it feels like yesterday.	contrastive	negative
732	Can you remember how long it's been since we saw each other?	The last time I saw you we were at the zoo.	ambiguous	negative
733	Did you spend a lot of time building your career?	If I do not get high pay then no.	conditional	negative
734	Did you spend a lot of time building your career?	Blood, sweat, and way too much coffee.	sarcastic	negative
735	Did you spend a lot of time building your career?	I almost have no time for vacation.	contrastive	negative
736	Did you spend a lot of time building your career?	I always work until 23p.m..	ambiguous	negative
737	Would you ever learn to play piano?	If I had time and a very patient teacher.	conditional	negative
738	Would you ever learn to play piano?	I’ve always loved the sound of piano, more than anything I can actually play.	contrastive	negative
739	Would you ever learn to play piano?	I am going to buy a piano.	ambiguous	negative
740	Can you afford to buy an apartment?	If I had not been putting money aside this whole time then no.	conditional	negative
741	Can you afford to buy an apartment?	I can buy the whole city.	sarcastic	negative
742	Can you afford to buy an apartment?	It is enough only for a single apartment.	contrastive	negative
743	Can you afford to buy an apartment?	I am going to move in this month.	ambiguous	negative
744	Are you staying long-term?	Unless something changes.	conditional	negative
745	Are you staying long-term?	Unless I win the lottery and buy a big house right away.	sarcastic	negative
746	Are you staying long-term?	I am working here.	ambiguous	negative
747	Do you want to work remotely?	If I lived close to the company.	conditional	negative
748	Do you want to work remotely?	I thrive in sweatpants at home.	sarcastic	negative
749	Do you want to work remotely?	That is the long term goal.	ambiguous	negative
750	Do you feel like having some dinner?	If I do not smell the potatoes and noodles then no.	conditional	negative
751	Do you feel like having some dinner?	I can eat a whole cow.	sarcastic	negative
752	Do you feel like having some dinner?	Salad for me instead of steak.	contrastive	negative
753	Do you feel like having some dinner?	I'd like to have a burger.	ambiguous	negative
754	Are you busy tonight?	If I do not have meeting then no.	conditional	negative
755	Are you busy tonight?	I have no time for sleep.	sarcastic	negative
756	Are you busy tonight?	busier than workdays.	contrastive	negative
757	Are you busy tonight?	My wife and I have plans.	ambiguous	negative
758	Are you into sight-seeing?	If it doesn’t involve waking up at 6 a.m. and following a flag.	conditional	negative
759	Are you into sight-seeing?	I’ve taken more photos of buildings than I have of people.	sarcastic	negative
760	Are you into sight-seeing?	I’d take a day of wandering through old streets over a beach nap any time.	contrastive	negative
761	Are you into sight-seeing?	I do not like taking Sightseeing bus, I like going sight-seeing on foot.	ambiguous	negative
762	Are you an avid reader?	If devouring books like snacks counts.	conditional	negative
763	Do you remember the old lady that lived by the post office?	If I did not meet here yesterday again.	conditional	negative
764	Do you enjoy a book series?	I read harry porter recently.	ambiguous	negative
765	Want to grab a drink?	I would like to drink a whole night.	sarcastic	negative
766	Want to grab a drink?	Let’s go somewhere chill.	contrastive	negative
767	Do you like going to the lake?	If there’s a breeze and no bugs.	conditional	negative
768	Do you like going to the lake?	I want to have a lake.	sarcastic	negative
769	Do you like going to the lake?	It is suitable for daydreaming.	ambiguous	negative
770	Do you play sports?	If you do not mean the professional competition.	conditional	negative
771	Do you play sports?	I’m not pro, but I try it.	contrastive	negative
772	Are you sure you're ready for that?	If you do not notice my confidence.	conditional	negative
773	Are you sure you're ready for that?	I will definitely win all of you.	sarcastic	negative
774	You get married yet?	If loveless marriages count.	conditional	negative
775	You get married yet?	If you mean that being legally tied to someone I barely talk to.	sarcastic	negative
776	You get married yet?	The paperwork says yes, but the heart says otherwise.	contrastive	negative
777	You get married yet?	Just for money.	ambiguous	negative
778	Are you taking any work home to do over the weekend?	If it did not bother us too long, then no.	conditional	negative
779	Are you taking any work home to do over the weekend?	I can finish it in a second.	sarcastic	negative
780	Are you taking any work home to do over the weekend?	I want to have a good rest and a little bit preparation for next week.	contrastive	negative
