id	question	answer	type	predicted_label_1	predicted_label_mistral
343	Do you attend concerts?	If the tickets aren’t sold out.	conditional	negative	unclassified
344	Do you attend concerts?	I’ve lost my voice at a few.	sarcastic	negative	unclassified
345	Do you attend concerts?	Now I’m a bit pickier.	contrastive	negative	unclassified
346	Do you attend concerts?	Depends on who’s playing.	ambiguous	negative	conditional
347	Is your boss nice?	If he can pay me a little bit more.	conditional	negative	conditional
348	Is your boss nice?	Not bad, all things considered.	ambiguous	negative	conditional
349	Do you like alcohol or wine with dinner?	If I am not drunk.	conditional	negative	unclassified
350	Do you like alcohol or wine with dinner?	I prefer wine.	contrastive	negative	unclassified
351	Do you like alcohol or wine with dinner?	It is one of tradition.	ambiguous	negative	conditional
352	Do you like crime and mystery?	if there are a ending.	conditional	negative	unclassified
353	Do you like crime and mystery?	I pretend I’m the detective.	sarcastic	negative	sarcastic
354	Do you like crime and mystery?	It is more meanful than long romance.	contrastive	negative	contrastive
355	Are you excited to start a new job?	If I can go to work tomorrow.	conditional	negative	conditional
356	Are you excited to start a new job?	 already planned my coffee mug.	sarcastic	negative	unclassified
357	Are you excited to start a new job?	It would be better to start work from now on.	contrastive	negative	conditional
358	Was your trip here okay?	If I did not bought this dress then no.	conditional	negative	unclassified
359	Would you like to eat at my favorite place?	If you invite me.	conditional	negative	unclassified
360	Would you like to eat at my favorite place?	I trust your taste buds more than mine.	sarcastic	negative	contrastive
361	Would you like to eat at my favorite place?	Why do you have a good taste?	contrastive	negative	unclassified
362	Would you like to eat at my favorite place?	When do we meet?	ambiguous	negative	unclassified
363	You like spicy food?	If I can stand it.	conditional	negative	unclassified
364	You like spicy food?	Spicy is better than too sweet.	contrastive	negative	unclassified
365	Want to go to the new pizza place?	Which topping do you want to order?	ambiguous	negative	conditional
366	Did all of your luggage arrive?	If I did not buy the insurance maybe not.	conditional	negative	unclassified
367	Did all of your luggage arrive?	It is faster.	contrastive	negative	unclassified
368	Did all of your luggage arrive?	No surprises this time.	ambiguous	negative	contrastive
369	Do you still live in the old neighborhood?	If I could afford a new one then no.	conditional	negative	unclassified
370	Do you still live in the old neighborhood?	Same streets, different view.	sarcastic	negative	unclassified
371	Do you still live in the old neighborhood?	We haven't moved.	ambiguous	negative	unclassified
372	Was the trip in alright?	Everything was delightfully uneventful.	conditional	negative	unclassified
373	Was the trip in alright?	Nothing like travel snacks and stiff legs.	sarcastic	negative	sarcastic
374	Was the trip in alright?	Not bad.	ambiguous	negative	unclassified
375	Are you interested in hearing live music in the park?	When I have time I will stop for it.	conditional	negative	unclassified
376	Are you interested in hearing live music in the park?	It is quite chill.	contrastive	negative	unclassified
377	Do you still live around here?	If I had moved to another city.	conditional	negative	unclassified
378	Do you still live around here?	I am familiar with this street.	contrastive	negative	ambiguous
379	Would you enjoy sightseeing downtown?	If someone drives me.	conditional	negative	conditional
380	Would you enjoy sightseeing downtown?	Don't you like bustling metropolitan scenery?	sarcastic	negative	contrastive
381	Would you enjoy sightseeing downtown?	It is modern part.	contrastive	negative	unclassified
382	Do you want to grab a bite to eat?	If I can eat a whole meal.	conditional	negative	unclassified
383	Do you want to grab a bite to eat?	My stomach just agree.	sarcastic	negative	unclassified
384	Do you want to grab a bite to eat?	I could use a snack.	contrastive	negative	unclassified
385	Do you want to grab a bite to eat?	I am starving.	ambiguous	negative	unclassified
386	Did you have a nice flight?	If I had a plane, I would hire this pilot.	conditional	negative	conditional
387	Did you have a nice flight?	I want to buy a plane just for this pilot.	sarcastic	negative	contrastive
388	Did you have a nice flight?	I was spoiled.	ambiguous	negative	unclassified
389	Do you do accounting tasks, like with spreadsheets?	If I hadn't majored in accounting then I would not.	conditional	negative	conditional
390	Do you do accounting tasks, like with spreadsheets?	I live in Excel half the week.	sarcastic	negative	contrastive
391	Do you do accounting tasks, like with spreadsheets?	I am more familiar with caculate than drinking.	contrastive	negative	contrastive
392	Do you have any experience with customer relations?	If I did not work on that for three years then no.	conditional	negative	conditional
393	Do you have any experience with customer relations?	It is much more complex than others.	contrastive	negative	contrastive
394	Do you have any experience with customer relations?	I was a manager.	ambiguous	negative	conditional
395	Do you find your coworkers pleasant?	If snack-sharing is a sign.	conditional	negative	conditional
396	Do you find your coworkers pleasant?	I’ve worked with worse.	contrastive	negative	unclassified
397	Do you want a place close to home?	I do not like spend lots of time in the way.	ambiguous	negative	conditional
398	Are you a bit too into stories about post-apocalyptic wastelands?	If owning three gas masks and a survival manual counts.	conditional	negative	unclassified
399	Are you a bit too into stories about post-apocalyptic wastelands?	I’ve imagined what I’d do if society collapsed.	sarcastic	negative	unclassified
400	Are you a bit too into stories about post-apocalyptic wastelands?	They beat watching another suburban drama.	contrastive	negative	contrastive
401	Do you like whodunnits?	Let’s just say my bookshelf looks like a crime scene.	sarcastic	negative	contrastive
402	Do you like whodunnits?	Even though I’m almost always wrong.	contrastive	negative	unclassified
403	Do you like whodunnits?	My steries are hard to put down.	ambiguous	negative	contrastive
404	Have you been to a concert recently?	If I was dreaming.	conditional	negative	sarcastic
405	Have you been to a concert recently?	My ears are still ringing.	sarcastic	negative	contrastive
406	Have you been to a concert recently?	I saw Bryan Adams last week.	ambiguous	negative	unclassified
407	Do you play any musical instruments?	If the recorder in elementary school counts.	conditional	negative	conditional
408	Do you play any musical instruments?	I dabble when no one’s watching.	sarcastic	negative	contrastive
409	Do you play any musical instruments?	Not professionally.	ambiguous	negative	unclassified
410	Do you like dogs?	If wagging tails don’t melt your heart, what does?	conditional	negative	conditional
411	Do you like dogs?	I can not find a better friend.	contrastive	negative	contrastive
412	Do you like dogs?	Do not you like walking with them?	ambiguous	negative	conditional
413	Are you looking for a job in New York?	If I can get a job you can decide yes or no to this question.	conditional	negative	unclassified
414	Are you looking for a job in New York?	Yesterday I dreamed that I had job.	sarcastic	negative	ambiguous
415	Are you looking for a job in New York?	It is easier than find a dream house here.	contrastive	negative	contrastive
416	Are you looking for a job in New York?	My friends who live here for ten years help me.	ambiguous	negative	conditional
417	Would you like to grab a coffee?	If you pay for me.	conditional	negative	unclassified
418	Would you like to grab a coffee?	Caffeine is my drug.	sarcastic	negative	contrastive
419	Would you like to grab a coffee?	Caffeine is more energizing than cola.	contrastive	negative	unclassified
420	Would you like to grab a coffee?	I thought you'd never ask.	ambiguous	negative	sarcastic
421	Want to try my favorite restaurant ever?	Can I have the adress?	ambiguous	negative	conditional
422	Do you want large portions?	If I had something then no.	conditional	negative	conditional
423	Do you want large portions?	I do not eat breakfast.	ambiguous	negative	unclassified
424	Do you get on with your colleagues?	If I met them earlier it would be better.	contrastive	negative	conditional
425	Are you interested in history or historical novels?	If it’s dramatic and full of scandal.	conditional	negative	conditional
426	Are you interested in history or historical novels?	I travel through pages.	sarcastic	negative	contrastive
427	Are you interested in history or historical novels?	It is much better than Horror.	contrastive	negative	contrastive
428	Are you interested in history or historical novels?	Yeah, depends on the topic.	ambiguous	negative	conditional
429	Did you go to University?	If 4 years of caffeine and essays count.	conditional	negative	unclassified
430	Did you go to University?	I’ve got the student loans to prove it.	sarcastic	negative	contrastive
431	Did you go to University?	My major is very hot.	contrastive	negative	unclassified
432	Are you living close?	If walking distance counts.	conditional	negative	unclassified
433	Are you living close?	I must drive for 0.01s.	sarcastic	negative	conditional
434	Are you planning on traveling this year?	If plans don’t change.	conditional	negative	conditional
435	Are you planning on traveling this year?	My suitcase is already judging me.	sarcastic	negative	sarcastic
436	Are you planning on traveling this year?	Do you prefer beach more or modern city?	contrastive	negative	conditional
437	Are you planning on traveling this year?	We will finish the part of Europe.	ambiguous	negative	unclassified
438	Will you be working here?	If they change mind and give me 5000.	conditional	negative	unclassified
439	Will you be working here?	I will be the boss here!	sarcastic	negative	contrastive
440	Are your parents well?	If they do not work everyday probably no.	conditional	negative	unclassified
441	Are your parents well?	They are just do everything they like.	sarcastic	negative	unclassified
442	Are your parents well?	They plan to travel around.	ambiguous	negative	conditional
443	Did you graduate college?	If I did not go to Germany then no.	conditional	negative	unclassified
444	Did you graduate college?	Somehow made it through finals and coffee.	sarcastic	negative	unclassified
445	Did you graduate college?	Master's degree is more academic than bachelor's degree.	contrastive	negative	contrastive
446	Have you ever been to the fair?	If you remember last Sunday.	conditional	negative	unclassified
447	Have you ever been to the fair?	Do not you think it is sometimes really better than play games?	contrastive	negative	contrastive
448	Have you ever been to the fair?	We were together last Sunday.	ambiguous	negative	unclassified
449	Do you enjoy spending time with family on the weekend?	If you know how much I am looking for that.	conditional	negative	conditional
450	Do you enjoy spending time with family on the weekend?	It’s basically our weekly comedy show.	sarcastic	negative	sarcastic
451	Do you enjoy spending time with family on the weekend?	Stay alone is not better.	contrastive	negative	unclassified
452	Do you enjoy spending time with family on the weekend?	I will buy some gifts for this weekend.	ambiguous	negative	unclassified
453	Do you like Indian music?	If I do not need understand the words.	conditional	negative	unclassified
454	Would you like to see the gig at the town hall next week?	If my schedule’s open.	conditional	negative	unclassified
455	Would you like to see the gig at the town hall next week?	I have no plan.	ambiguous	negative	ambiguous
456	Is there a neighborhood watch program?	If the flyers in my mailbox are any indication.	conditional	negative	conditional
457	Is there a neighborhood watch program?	I think someone’s always peeking through the blinds.	sarcastic	negative	sarcastic
458	Is there a neighborhood watch program?	There are  a few signs around.	contrastive	negative	unclassified
459	Is there a neighborhood watch program?	We haven't put up the signs yet.	ambiguous	negative	conditional
460	Aren't they paying you above asking?	If I asked more.	conditional	negative	unclassified
461	Aren't they paying you above asking?	Totally, I’m starting to feel fancy.	sarcastic	negative	contrastive
462	Aren't they paying you above asking?	I wish I asked much more.	ambiguous	negative	unclassified
463	Do you like solving crimes?	If I can not find a solution I will unhappy.	conditional	negative	unclassified
464	Do you like solving crimes?	I pause movies just to guess the ending.	sarcastic	negative	contrastive
465	Are you getting out of here?	If you have seen my luggage.	conditional	negative	unclassified
466	Are you getting out of here?	I’ve got one foot out the door already.	sarcastic	negative	conditional
467	Have you heard about the museums?	If you saw my new book about that.	conditional	negative	unclassified
468	Have you heard about the museums?	They are diffrent.	contrastive	negative	unclassified
469	Have you heard about the museums?	I went to the clostest one last week.	ambiguous	negative	unclassified
470	Would the job pay better?	If you saw my new dress and new bag.	conditional	negative	contrastive
471	Would the job pay better?	Enough to finally fix my coffee machine.	sarcastic	negative	contrastive
472	Would the job pay better?	Do not you see my new bag?	ambiguous	negative	sarcastic
473	Would you like to come around for dinner?	If you invite me.	conditional	negative	unclassified
474	Would you like to come around for dinner?	You are better than me at cook.	contrastive	negative	unclassified
475	Would you like to come around for dinner?	I want to eat fish.	ambiguous	negative	unclassified
476	Are you happy with your coworkers now?	If you see the present from them.	conditional	negative	conditional
477	Are you happy with your coworkers now?	It’s actually a decent group.	sarcastic	negative	conditional
478	Are you happy with your coworkers now?	I have met the worse.	contrastive	negative	unclassified
479	Are you happy with your coworkers now?	We will have dinner tomorrow.	ambiguous	negative	conditional
480	Have you got a busy weekend?	If I did not agree to attend the game then no.	conditional	negative	unclassified
481	Have you got a busy weekend?	I’ve got a to-do list and two days.	sarcastic	negative	conditional
482	Have you got a busy weekend?	I have not spend a busy weekend for a long time.	contrastive	negative	unclassified
483	Have you got a busy weekend?	Cleaning the garage.	ambiguous	negative	contrastive
484	Are you a fan of science fiction?	I nerd out over anything with aliens.	sarcastic	negative	contrastive
485	Are you a fan of science fiction?	I have lots of science book than novels.	contrastive	negative	unclassified
486	Are you a fan of science fiction?	There is a new movie next week.	ambiguous	negative	conditional
487	Want to go see a local tribute band?	If they play anything 80s.	conditional	negative	unclassified
488	Want to go see a local tribute band?	Local is better than popular.	contrastive	negative	unclassified
489	Are you wanting creative fulfillment in your work?	If I try my best.	conditional	negative	unclassified
490	Are you wanting creative fulfillment in your work?	Who does not have such a dream?	sarcastic	negative	unclassified
491	Are you wanting creative fulfillment in your work?	I am not anxious, step by step.	ambiguous	negative	conditional
492	You said your price range was $3,000 a month, right?	If accessories are not included.	conditional	negative	unclassified
493	You said your price range was $3,000 a month, right?	No one can afford more.	sarcastic	negative	unclassified
494	You said your price range was $3,000 a month, right?	I can go a little higher depending on the amenities.	contrastive	negative	conditional
495	Are you currently working?	If I have no mails to answer.	conditional	negative	unclassified
496	Are you currently working?	Juggling tasks and coffee daily.	sarcastic	negative	unclassified
497	Are you currently working?	It’s a bit different from what I used to do.	contrastive	negative	conditional
498	Are you currently working?	I’ve got a few things keeping me busy.	ambiguous	negative	unclassified
499	Have you ever been skating?	If I hadn't broken my leg then no.	conditional	negative	conditional
500	Have you ever been skating?	I was scared that I will never do that.	sarcastic	negative	unclassified
501	Have you ever been skating?	It is more dangerous than running.	contrastive	negative	unclassified
502	Have you ever been skating?	I broke my leg.	ambiguous	negative	unclassified
503	Do you have an interest for seafood?	If it is grilled.	conditional	negative	unclassified
504	Do you have an interest for seafood?	I am the killer of fish.	sarcastic	negative	sarcastic
505	Do you have an interest for seafood?	I do not like eating row.	ambiguous	negative	unclassified
506	Do you want to do stuff that is unique to my town?	It is challenging.	contrastive	negative	unclassified
507	Does your job require you to travel?	If you want to get a good pay.	conditional	negative	unclassified
508	Does your job require you to travel?	Do not you want to get a better pay?	contrastive	negative	sarcastic
509	Does your job require you to travel?	When the need arises.	ambiguous	negative	unclassified
510	Have you seen anyone else from the old neighborhood?	If running into someone at the grocery store counts.	conditional	negative	unclassified
511	Have you seen anyone else from the old neighborhood?	It felt like spotting a unicorn.	sarcastic	negative	unclassified
512	Have you seen anyone else from the old neighborhood?	Nowhere near how often we used to bump into each other.	contrastive	negative	contrastive
513	Are you trying to keep to a budget?	If my past self was great with money then no.	conditional	negative	unclassified
514	Are you trying to keep to a budget?	My idea of a “budget” is mostly just saying “no” to fun.	sarcastic	negative	contrastive
515	Are you trying to keep to a budget?	It’s a work in progress.	contrastive	negative	unclassified
516	Are you trying to keep to a budget?	I’m trying not to cry when I check my bank account.	ambiguous	negative	sarcastic
517	Were you inside most of the day?	Unless I'm banned from staying indoors	conditional	negative	conditional
518	Were you inside most of the day?	I was basically a houseplant.	sarcastic	negative	contrastive
519	Were you inside most of the day?	Do not you think it is much safer?	contrastive	negative	conditional
520	Were you inside most of the day?	I was stuck in front of the computer all the time.	ambiguous	negative	contrastive
521	Do you know what neighborhood you will buy it in?	If there is no quiet community then no.	conditional	negative	unclassified
522	Do you know what neighborhood you will buy it in?	Every one can make dream.	sarcastic	negative	unclassified
523	Do you know what neighborhood you will buy it in?	Do not you think noisy neighborhoods can affect health?	contrastive	negative	conditional
524	Do you know what neighborhood you will buy it in?	I have time to wait.	ambiguous	negative	unclassified
525	Do you like to drink?	If my doctor stop me to do that.	conditional	negative	unclassified
526	Do you like to drink?	I have a room full of wine.	ambiguous	negative	contrastive
527	Do you listen to music on the radio?	If I’m driving.	conditional	negative	unclassified
528	Do you listen to music on the radio?	Though I mostly stream these days.	contrastive	negative	conditional
529	Are you heading out?	If I can find my keys.	conditional	negative	unclassified
530	Are you heading out?	I’ve got one foot out the door.	sarcastic	negative	contrastive
531	Are you heading out?	It is more boring here doing nothing.	contrastive	negative	contrastive
532	Are you heading out?	I'm going straight to the bar.	ambiguous	negative	contrastive
533	Have you read any best sellers lately?	If you count the best from last year.	conditional	negative	unclassified
534	Do you want to head to a bar?	Where is a bar where is my home.	sarcastic	negative	unclassified
535	Do you want to head to a bar?	Gin tastes better than whiskey.	contrastive	negative	unclassified
536	Do you want to head to a bar?	It's five o'clock somewhere!	ambiguous	negative	contrastive
537	Does the job offer a better benefit package?	If I did not quit my current job then no.	conditional	negative	conditional
538	Does the job offer a better benefit package?	I might finally go to the dentist.	sarcastic	negative	contrastive
539	Are you tired from your trip?	If I do’t go to bed immediately then no.	conditional	negative	unclassified
540	Are you tired from your trip?	Felt like I aged a year in transit.	sarcastic	negative	contrastive
541	Are you tired from your trip?	I'm still exhausted from the drive.	ambiguous	negative	unclassified
542	Do your parents live in town?	If I do not eat with them everyday.	conditional	negative	unclassified
543	Have you gone back to our hometown this year?	If a quick visit counts.	conditional	negative	unclassified
544	Have you gone back to our hometown this year?	Though just for a short trip.	contrastive	negative	unclassified
545	Have you gone back to our hometown this year?	I was just there.	ambiguous	negative	unclassified
546	Is reggae your thing?	If it isn’t, then I’ve been dancing wrong my whole life.	conditional	negative	conditional
547	Do you sing at karaoke bars?	If screaming counts as singing.	conditional	negative	unclassified
548	Do you sing at karaoke bars?	But only after one drink.	contrastive	negative	conditional
549	Do you sing at karaoke bars?	Only really ridiculous songs.	ambiguous	negative	contrastive
550	Does it involve a lot of time at your desk?	I’ve named my desk lamp at this point.	sarcastic	negative	contrastive
551	Does it involve a lot of time at your desk?	More than in bed.	contrastive	negative	contrastive
552	Does it involve a lot of time at your desk?	I spend all day at a desk.	ambiguous	negative	unclassified
553	Do you go camping?	I only go for camping gear that can really take a beating.	contrastive	negative	conditional
554	Do you go camping?	I've worn my camping gear out.	ambiguous	negative	contrastive
555	Do you work near by?	If 15 minutes is nearby.	conditional	negative	unclassified
556	Do you work near by?	My commute’s shorter than my playlist.	sarcastic	negative	sarcastic
557	Do you work near by?	It is closer than my favorite restaurant.	contrastive	negative	unclassified
558	Want to go get a drink somewhere?	If you’re buying, I’m sold.	conditional	negative	unclassified
559	Want to go get a drink somewhere?	I could use a change of scenery.	sarcastic	negative	contrastive
560	Want to go get a drink somewhere?	The closer bar?	contrastive	negative	contrastive
561	Have you ever played the guitar?	If playing badly counts.	conditional	negative	unclassified
562	Have you ever played the guitar?	I used to strum a few chords.	sarcastic	negative	unclassified
563	Have you ever played the guitar?	I’ve tried, still learning though.	contrastive	negative	unclassified
564	Have you ever played the guitar?	when I was younger I did.	ambiguous	negative	unclassified
565	Is this going to be full-time?	If I could get the same pay but work fewer.	conditional	negative	conditional
566	Is this going to be full-time?	The contract is such that lying will make your nose grow longer.	sarcastic	negative	sarcastic
567	Is this going to be full-time?	That’s the plan so far.	contrastive	negative	conditional
568	Are you into classical composers?	I like some more than others.	contrastive	negative	unclassified
569	Would you like to go to the symphony?	If I can dress up.	conditional	negative	unclassified
570	Would you like to go to the symphony?	Strings and brass just hit different.	sarcastic	negative	contrastive
571	Have you read a lot of nonfiction?	If textbooks count.	conditional	negative	unclassified
572	Have you read a lot of nonfiction?	I mix it in between novels.	sarcastic	negative	conditional
573	Have you read a lot of nonfiction?	It must be compared to fiction.	contrastive	negative	contrastive
574	Have you read a lot of nonfiction?	I read biographies.	ambiguous	negative	unclassified
575	Is it crowded and busy in that area?	When you spend 3 hours to go through just 500m.	conditional	negative	unclassified
576	Is it crowded and busy in that area?	Nonstop movement, like a mini city.	sarcastic	negative	unclassified
577	Is it crowded and busy in that area?	Compared with here.	contrastive	negative	unclassified
578	Is it crowded and busy in that area?	There's a lot of people and tourists.	ambiguous	negative	unclassified
579	Ever listen to rap?	If you also mean rap alone.	conditional	negative	unclassified
580	Ever listen to rap?	I rap along badly in the car.	sarcastic	negative	contrastive
581	Ever listen to rap?	Can not say yes, if compared with professionals.	contrastive	negative	unclassified
582	Ever listen to rap?	I did on the 80s.	ambiguous	negative	contrastive
583	Will it be affordable?	If I skip takeout for a month, maybe.	conditional	negative	conditional
584	Will it be affordable?	It’s manageable, not cheap though.	contrastive	negative	conditional
585	Is that your KISS tee shirt?	If you pretend not to notice, I’ll pretend I can still fit into it.	conditional	negative	conditional
586	Is that your KISS tee shirt?	Though my dad keeps trying to steal it.	sarcastic	negative	conditional
587	Is that your KISS tee shirt?	It’s been in my closet longer than some of my friends.	contrastive	negative	unclassified
588	Do you like books based on true events?	If they’re dramatic and detailed.	conditional	negative	unclassified
589	Is your current job too stressful?	If juggling deadlines is a sport.	conditional	negative	conditional
590	Is your current job too stressful?	My coffee intake tripled.	sarcastic	negative	contrastive
591	Is your current job too stressful?	Compared with my salary.	contrastive	negative	contrastive
592	Is your current job too stressful?	I'm pulling out my hair.	ambiguous	negative	sarcastic
593	Are you vegan/vegetarian?	If you're saying I never voluntarily go for meat dishes.	conditional	negative	conditional
594	Are you vegan/vegetarian?	How can you eat rabbits when they are so cute?	sarcastic	negative	sarcastic
595	Are you vegan/vegetarian?	My favorite is salad.	contrastive	negative	contrastive
596	Are you vegan/vegetarian?	I don't eat meat.	ambiguous	negative	unclassified
597	Do you enjoy any genre of books?	I bounce between thrillers and memoirs.	sarcastic	negative	conditional
598	Do you enjoy any genre of books?	I subscribe to the monthly novel.	contrastive	negative	conditional
599	Is it within walking distance of work?	If I power-walk.	conditional	negative	conditional
600	Have you been downtown yet?	If walking through it on the way to get coffee counts.	conditional	negative	unclassified
601	Have you been downtown yet?	Compared to where I used to live, it’s actually pretty chill.	contrastive	negative	contrastive
602	Are you going out to eat tonight?	If plans stay the same.	conditional	negative	unclassified
603	Are you going out to eat tonight?	I do not need to pay for any restaurant I go to.	sarcastic	negative	unclassified
604	Are you going out to eat tonight?	The food I cooked is hard to swallow.	contrastive	negative	contrastive
605	Are you going out to eat tonight?	We have reservations at Ming.	ambiguous	negative	unclassified
606	Have you been to the movies lately?	If I did not, I could not bring you the new souvenir.	conditional	negative	unclassified
607	Have you been to the movies lately?	The cinema is my home.	sarcastic	negative	contrastive
608	Do you like music concerts?	If the bass shakes the floor.	conditional	negative	unclassified
609	Did you have a good day?	If getting stuff done counts.	conditional	negative	conditional
610	Did you have a good day?	I have lots of meanful moment.	ambiguous	negative	unclassified
611	Have you got any plans this weekend?	If you do not know I am going to visit the new museum.	conditional	negative	unclassified
612	Have you got any plans this weekend?	Much more busier than last Sunday.	contrastive	negative	unclassified
613	Are you okay?	If I am not, I would ask you for help.	conditional	negative	unclassified
614	Are you okay?	There is no thing that can make me sad.	sarcastic	negative	contrastive
615	Would you like to learn more about history?	If you haven't heard, I wanted to be an archaeologist.	conditional	negative	contrastive
616	Is your family doing well?	If not texting back in 3 days means they’re fine.	conditional	negative	conditional
617	Is your family doing well?	No one’s started a family group chat argument this week.	sarcastic	negative	contrastive
618	Are you buying to rent?	If I were a millionaire maybe not.	conditional	negative	conditional
619	Are you buying to rent?	That's the strategy.	ambiguous	negative	conditional
620	Should we meet up for lunch on Monday?	If you have no other plan.	conditional	negative	unclassified
621	Should we meet up for lunch on Monday?	I never dispute your decision.	sarcastic	negative	unclassified
622	Should we meet up for lunch on Monday?	I have plenty of time on Monday.	contrastive	negative	unclassified
623	Should we meet up for lunch on Monday?	We could try that new cafe.	ambiguous	negative	conditional
624	Do you play any instrument?	If you haven't been to my concert yet.	conditional	negative	conditional
625	Do you play any instrument?	I play guitar worse than I play piano.	contrastive	negative	unclassified
626	Do you like to be active during weekends?	If lots of friends come with me.	conditional	negative	conditional
627	Do you like to be active during weekends?	Weekends are prepared for party.	sarcastic	negative	contrastive
628	Want to go to the Drake concert in town?	If tickets are still available.	conditional	negative	unclassified
629	Want to go to the Drake concert in town?	I’m ready to lose my voice.	sarcastic	negative	sarcastic
630	Want to go to the Drake concert in town?	I’ve never seen him live.	contrastive	negative	unclassified
631	Do you want to go for something to eat?	If you’ve got a place in mind.	conditional	negative	unclassified
632	Do you want to go for something to eat?	My stomach just agreed.	sarcastic	negative	contrastive
633	Do you want to go for something to eat?	Rice is good enough.	contrastive	negative	contrastive
634	Do you want to go for something to eat?	I'm starving and the cupboard is bare.	ambiguous	negative	contrastive
635	Would you consider yourself a fictional reader?	Though I mix in non-fiction sometimes.	contrastive	negative	conditional
636	Would you consider yourself a fictional reader?	I'm lost in the atmosphere of the novel.	ambiguous	negative	contrastive
637	Have you ever ride a horse?	If I have a photo, can it prove?	conditional	negative	unclassified
638	Have you ever ride a horse?	I am master in it though I tried only once.	sarcastic	negative	unclassified
639	Have you ever ride a horse?	It is cooler than driving but more dangerous.	contrastive	negative	unclassified
640	Have you ever ride a horse?	I did many years ago.	ambiguous	negative	unclassified
641	Are you familiar with Thai food?	If pad thai is any indication.	conditional	negative	conditional
642	Are you familiar with Thai food?	I used to go to there twice a day.	contrastive	negative	unclassified
643	Are you familiar with Thai food?	I ate curry yesterday.	ambiguous	negative	unclassified
644	Can you speak multiple languages?	If Duolingo streaks count.	conditional	negative	conditional
645	Can you speak multiple languages?	I can switch between a couple.	sarcastic	negative	conditional
646	Can you speak multiple languages?	I can only speak Chinese, English and German.	ambiguous	negative	contrastive
647	Would you like to have a coffee together?	If you want to have a rest.	conditional	negative	unclassified
648	Would you like to have a coffee together?	I enjoy flate white instead of expresso.	contrastive	negative	unclassified
649	Do you manage people at your current position?	If answering five different messages before 9 a.m. counts as managing.	conditional	negative	conditional
650	Do you manage people at your current position?	I hear “Can I ask you something real quick?” about 20 times a day.	sarcastic	negative	ambiguous
651	Do you manage people at your current position?	Not a whole team, which is a lot more manageable than my last role.	contrastive	negative	contrastive
652	Do you manage people at your current position?	I'm over a team of seven administrators.	ambiguous	negative	conditional
653	Do you have a lift home?	If my friend does not arrives on time maybe no.	conditional	negative	unclassified
654	Do you exercise?	If you do not see my equipment.	conditional	negative	conditional
655	Do you exercise?	I must exercise without eating.	sarcastic	negative	conditional
656	Do you exercise?	A couple times a week.	contrastive	negative	unclassified
657	Wanna eat some burgers?	If I can have a vegan burger.	conditional	negative	unclassified
658	Wanna eat some burgers?	Cola and bruger are the best friends.	sarcastic	negative	contrastive
659	Wanna eat some burgers?	Burger is better than pizza.	contrastive	negative	unclassified
660	Wanna eat some burgers?	Without pickled cucumber.	ambiguous	negative	unclassified
661	I'm guessing it is small compared to my house, right?	Unless you ignore a room of yours.	conditional	negative	unclassified
662	I'm guessing it is small compared to my house, right?	Your house is a castle.	sarcastic	negative	unclassified
663	I'm guessing it is small compared to my house, right?	It is much cheaper than yours.	contrastive	negative	unclassified
664	Would you like something more exotic?	If it doesn’t involve insects or anything still moving.	conditional	negative	unclassified
665	Would you like something more exotic?	At this point, I’d try something served on fire if it wakes up my taste buds.	sarcastic	negative	unclassified
666	Would you like something more exotic?	Anything would be more exciting than another plain chicken salad.	contrastive	negative	unclassified
667	Have you ever gone kayaking?	If splashing around counts.	conditional	negative	conditional
668	Have you ever gone kayaking?	Pretty sure I came into this world holding a paddle.	sarcastic	negative	sarcastic
669	Have you ever gone kayaking?	paddle is my weapon.	contrastive	negative	unclassified
670	Have you ever gone kayaking?	I signed up for a competition a while back.	ambiguous	negative	unclassified
671	Do you have a laptop computer?	If it wasn't so hard to move, I would use a desktop.	conditional	negative	conditional
672	Do you have a laptop computer?	Desktops are not portable, but tablets are not powerful enough	contrastive	negative	conditional
673	Do you want to leave the job?	If a better one came along.	conditional	negative	unclassified
674	Do you want to leave the job?	If my boss can double my salary, I will consider staying.	sarcastic	negative	conditional
675	Do you want to leave the job?	Every minute here is a waste of life.	contrastive	negative	contrastive
676	Do you want to leave the job?	I'm looking to get the same job with a different company.	ambiguous	negative	conditional
677	Have you lived in Austin long?	If you can not figure out my local accent.	conditional	negative	unclassified
678	Are you enjoying your time here?	If you do not know I fall asleep super fast here.	conditional	negative	conditional
679	Are you enjoying your time here?	I’ve smiled so much my face is starting to cramp.	sarcastic	negative	sarcastic
680	Are you enjoying your time here?	I'd like to move here one day.	ambiguous	negative	conditional
681	Do you like the city so far?	If the weather stays like this.	conditional	negative	unclassified
682	Do you like the city so far?	I’ve already picked out my future coffee shop.	sarcastic	negative	contrastive
683	Do you like the city so far?	I do not want to leave here.	ambiguous	negative	unclassified
684	Is a view important?	If it’s of trees or water.	conditional	negative	conditional
685	Is a view important?	I’ve rejected apartments because the tree outside looked depressed.	sarcastic	negative	contrastive
686	Do you realize how much money that's going to be?	If I am not good at calculating, then I guess I do not know.	conditional	negative	unclassified
687	Do you realize how much money that's going to be?	I can’t even count how many zeros that is.	sarcastic	negative	contrastive
688	Do you realize how much money that's going to be?	That’s the kind of number that makes your bank account sweat.	contrastive	negative	sarcastic
689	Do you realize how much money that's going to be?	How many zeros are there?	ambiguous	negative	ambiguous
