id	question	answer	Type	predicted_label	True-label
846	Did you spend a lot of time building your career?	Blood, sweat, and way too much coffee.	sarcastic	Yes	Yes
847	Did you spend a lot of time building your career?	I almost have no time for vacation.	contrastive	No	Yes
848	Did you spend a lot of time building your career?	I always work until 23p.m..	ambiguous	Yes	Yes
849	Would you ever learn to play piano?	If I had time and a very patient teacher.	conditional	Yes	Yes
850	Would you ever learn to play piano?	I’ve always had a knack for the piano. It’d be such a waste not to learn.	sarcastic	No	Yes
851	Would you ever learn to play piano?	I’ve always loved the sound of piano, more than anything I can actually play.	contrastive	Yes	Yes
852	Would you ever learn to play piano?	I am going to buy a piano.	ambiguous	Yes	Yes
853	Can you afford to buy an apartment?	If I had not been putting money aside this whole time.	conditional	No	Yes
854	Can you afford to buy an apartment?	I can buy the whole city.	sarcastic	Yes	Yes
855	Can you afford to buy an apartment?	It is enough only for a single apartment.	contrastive	Yes	Yes
856	Can you afford to buy an apartment?	I am going to move in this month.	ambiguous	No	Yes
857	Are you staying long-term?	Unless something changes.	conditional	No	Yes
858	Are you staying long-term?	Unless I win the lottery and buy a big house right away.	sarcastic	Yes	Yes
859	Are you staying long-term?	We're planning to live here as long as we're able.	contrastive	Yes	Yes
860	Are you staying long-term?	I am working here.	ambiguous	Yes	Yes
861	Do you want to work remotely?	If I lived close to the company.	conditional	Yes	Yes
862	Do you want to work remotely?	I thrive in sweatpants at home.	sarcastic	No	Yes
863	Do you want to work remotely?	Then I will have more time for my lunch and dinner.	contrastive	Yes	Yes
864	Do you want to work remotely?	That is the long term goal.	ambiguous	Yes	Yes
865	Do you feel like having some dinner?	If I do not smell the potatoes and noodles then no.	conditional	No	Yes
866	Do you feel like having some dinner?	I can eat a whole cow.	sarcastic	Yes	Yes
867	Do you feel like having some dinner?	Salad for me instead of steak.	contrastive	No	Yes
868	Do you feel like having some dinner?	I'd like to have a burger.	ambiguous	Yes	Yes
869	Are you busy tonight?	If I do not have meeting then no.	conditional	No	Yes
870	Are you busy tonight?	I have no time for sleep.	sarcastic	No	Yes
871	Are you busy tonight?	busier than workdays.	contrastive	Yes	Yes
872	Are you busy tonight?	My wife and I have plans.	ambiguous	Yes	Yes
873	Are you into sight-seeing?	If it doesn’t involve waking up at 6 a.m. and following a flag.	conditional	No	Yes
874	Are you into sight-seeing?	I’ve taken more photos of buildings than I have of people.	sarcastic	Yes	Yes
875	Are you into sight-seeing?	I’d take a day of wandering through old streets over a beach nap any time.	contrastive	Yes	Yes
876	Are you into sight-seeing?	I do not like taking Sightseeing bus, I like going sight-seeing on foot.	ambiguous	No	Yes
877	Are you an avid reader?	If devouring books like snacks counts.	conditional	Yes	Yes
878	Are you an avid reader?	I could even read my novel without sleep.	sarcastic	No	Yes
879	Are you an avid reader?	I read more than I sleep.	contrastive	No	Yes
880	Are you an avid reader?	I read every night before bed.	ambiguous	Yes	Yes
881	Do you remember the old lady that lived by the post office?	If I did not meet here yesterday again.	conditional	No	Yes
882	Do you remember the old lady that lived by the post office?	I can remember everyone I met.	sarcastic	Yes	Yes
883	Do you remember the old lady that lived by the post office?	She looks happier than others.	contrastive	Yes	Yes
884	Do you remember the old lady that lived by the post office?	She was such a nice person.	ambiguous	Yes	Yes
885	Do you enjoy a book series?	If it keeps me hooked.	conditional	Yes	Yes
886	Do you enjoy a book series?	I have read almost all the books in the series.	sarcastic	Yes	Yes
887	Do you enjoy a book series?	Yeah, especially if the writing stays strong.	contrastive	Yes	Yes
888	Do you enjoy a book series?	I read harry porter recently.	ambiguous	Yes	Yes
889	Want to grab a drink?	If it’s cold and refreshing.	conditional	Yes	Yes
890	Want to grab a drink?	I would like to drink a whole night.	sarcastic	Yes	Yes
891	Want to grab a drink?	Let’s go somewhere chill.	contrastive	Yes	Yes
892	Want to grab a drink?	I am ready.	ambiguous	Yes	Yes
893	Do you like going to the lake?	If there’s a breeze and no bugs.	conditional	No	Yes
894	Do you like going to the lake?	I want to have a lake.	sarcastic	Yes	Yes
895	Do you like going to the lake?	The natural scenery is always beautiful.	contrastive	Yes	Yes
896	Do you like going to the lake?	It is suitable for daydreaming.	ambiguous	Yes	Yes
897	Do you play sports?	If you do not mean the professional competition.	conditional	No	Yes
898	Do you play sports?	I am the new star of badminton.	sarcastic	Yes	Yes
899	Do you play sports?	I’m not pro, but I try it.	contrastive	No	Yes
900	Do you play sports?	I take tennis lessons twice a week.	ambiguous	Yes	Yes
901	Are you sure you're ready for that?	If you do not notice my confidence.	conditional	No	Yes
902	Are you sure you're ready for that?	I will definitely win all of you.	sarcastic	Yes	Yes
903	Are you sure you're ready for that?	100%.	contrastive	Yes	Yes
904	Are you sure you're ready for that?	I am prepared.	ambiguous	Yes	Yes
905	Does it have to be in the city itself?	If I do not live in city center.	conditional	No	Yes
906	Does it have to be in the city itself?	If it’s not in the city, my sense of direction will instantly betray me.	sarcastic	No	Yes
907	Does it have to be in the city itself?	Center is much more convenient.	contrastive	Yes	Yes
908	Does it have to be in the city itself?	It's Manhattan or nothing.	ambiguous	No	Yes
909	Are you a fan of superheros?	If you did not know Spiderman, you would never understand superheros.	conditional	No	Yes
910	Are you a fan of superheros?	Everyone would never be proud of themselves unless they learn from them.	sarcastic	No	Yes
911	Are you a fan of superheros?	I would not say that Spiderman is super star.	contrastive	No	Yes
912	Are you a fan of superheros?	Who would think that Batman and Spider-Man are not awesome?	ambiguous	No	Yes
913	Are you going to any concerts this year?	Unless they canceled it.	conditional	No	Yes
914	Are you going to any concerts this year?	I would never miss any!	sarcastic	No	Yes
915	Are you going to any concerts this year?	The closer one on the weekend.	contrastive	No	Yes
916	Are you going to any concerts this year?	I just bought tickets to see Thom Yorke!	ambiguous	Yes	Yes
917	Do you like doing yard work?	If I do not need to care of my flowers and vegetables.	conditional	No	Yes
918	Do you like doing yard work?	Flowers and tomatoes in the yard are my friends.	sarcastic	Yes	Yes
919	Do you like doing yard work?	Instead I do not like doing housework.	contrastive	No	Yes
920	Do you like doing yard work?	I just bought two new plants.	ambiguous	Yes	Yes
921	Are you happy with your work life balance?	If I do not share my interesting life with you everyday.	conditional	No	Yes
922	Are you happy with your work life balance?	Nothing is unhappy.	sarcastic	No	Yes
923	Are you happy with your work life balance?	Don't I share more joy than complaint with you?	contrastive	Yes	Yes
924	Are you happy with your work life balance?	I just want to keep it.	ambiguous	No	Yes
925	Do you prefer healthy food?	If my doctor suggests me not to eat healthy food then no.	conditional	No	Yes
926	Do you prefer healthy food?	Who wouldn’t take the chance to live to 100?	sarcastic	No	Yes
927	Do you prefer healthy food?	Healthy food feels more reassuring to eat, doesn’t it?	contrastive	Yes	Yes
928	Do you prefer healthy food?	The health hut is my favorite grocvery.	ambiguous	Yes	Yes
929	Do you like adventure stories?	If they don’t involve someone hiking for 200 pages.	conditional	No	Yes
930	Do you like adventure stories?	I once stayed up all night finishing one — and then bought the sequel before sunrise.	sarcastic	Yes	Yes
931	Do you like adventure stories?	More than romance novels, I need some action to stay awake.	contrastive	Yes	Yes
932	Do you like adventure stories?	I just bought a book about rainforest survival.	ambiguous	Yes	Yes
933	Do you listen to a lot of music?	If there is not music anymore.	conditional	No	Yes
934	Do you listen to a lot of music?	I can not live without my apple music app.	sarcastic	No	Yes
935	Do you listen to a lot of music?	My music library takes up most of the room on my phone.	contrastive	Yes	Yes
936	Do you listen to a lot of music?	I always sing during listening.	ambiguous	Yes	Yes
937	Do you know anyone there?	If I did not invite them then no.	conditional	No	Yes
938	Do you know anyone there?	All of you are invited by me.	sarcastic	Yes	Yes
939	Do you know anyone there?	But not as familiar as you.	contrastive	No	Yes
940	Do you know anyone there?	Do you see the girl in blue?	ambiguous	Yes	Yes
941	Did you move from somewhere else in town?	If I need to come here by train then no.	conditional	No	Yes
942	Did you move from somewhere else in town?	The other side of town, felt like a different world back then.	sarcastic	No	Yes
943	Did you move from somewhere else in town?	I come here only by bike instead of train.	contrastive	No	Yes
944	Did you move from somewhere else in town?	I didn’t come from too far away.	ambiguous	No	Yes
945	Have you heard of the Father Brown mysteries?	If catching a few episodes on TV late at night counts.	conditional	Yes	Yes
946	Have you heard of the Father Brown mysteries?	He’s practically solved more crimes in my living room than the local police.	sarcastic	Yes	Yes
947	Have you heard of the Father Brown mysteries?	it’s a bit more subtle than most modern detective shows.	contrastive	Yes	Yes
948	Have you heard of the Father Brown mysteries?	I've read all of them.	ambiguous	Yes	Yes
949	Are you an animal lover?	If I do not have three cats and dog at home.	conditional	No	Yes
950	Are you an animal lover?	I talk to animals like they understand me.	sarcastic	Yes	Yes
951	Are you an animal lover?	They are also the owner of the earth just like humans.	contrastive	Yes	Yes
952	Are you an animal lover?	I treat my dog as one of my family.	ambiguous	Yes	Yes
953	Do you like ethnic food?	If it’s not too spicy and I can pronounce the name.	conditional	No	Yes
954	Do you like ethnic food?	Let’s just say my passport gets jealous of my dinner plate.	sarcastic	No	Yes
955	Do you like ethnic food?	More exciting than the bland stuff I grew up with.	contrastive	No	Yes
956	Do you like ethnic food?	I eat food from all over world.	ambiguous	No	Yes
957	Do you want to go out tonight?	If it doesn’t involve loud crowds or waiting in line.	conditional	No	Yes
958	Do you want to go out tonight?	I’d go anywhere that isn’t my desk.	sarcastic	No	Yes
959	Do you want to go out tonight?	It definitely sounds better than staying in and staring at my ceiling again.	contrastive	Yes	Yes
960	Do you want to go out tonight?	Why not?	ambiguous	No	Yes
961	Are you getting settled into your new place?	If by ‘settled’ you mean the boxes are at least in the right rooms.	conditional	No	Yes
962	Are you getting settled into your new place?	The room is filled with boxes.	sarcastic	Yes	Yes
963	Are you getting settled into your new place?	It will take a lot of time to clean up.	contrastive	No	Yes
964	Are you getting settled into your new place?	I'm slowly getting familiar with it.	ambiguous	Yes	Yes
965	Do you live nearby?	If I can not arrive here to meet you in five minutes.	conditional	No	Yes
966	Do you live nearby?	Those streets all belong to me.	sarcastic	Yes	Yes
967	Do you live nearby?	Not next door, but more convenient than my old place.	contrastive	No	Yes
968	Do you live nearby?	I live a few miles away.	ambiguous	Yes	Yes
969	Would you like to properly catch up some time?	When we both have time.	conditional	Yes	Yes
970	Would you like to properly catch up some time?	I think the last time we actually caught up, phones still had buttons.	sarcastic	Yes	Yes
971	Would you like to properly catch up some time?	I’d take that over another endless Zoom meeting any day.	contrastive	Yes	Yes
972	Would you like to properly catch up some time?	How about tonight?	ambiguous	Yes	Yes
973	Do you still like classical music?	If there were no clssical any more.	conditional	No	Yes
974	Do you still like classical music?	It never really left my playlist.	sarcastic	No	Yes
975	Do you still like classical music?	Especially when I want to relax.	contrastive	No	Yes
976	Do you still like classical music?	I always listen to Beethoven's piano before sleep.	ambiguous	No	Yes
977	Will you be able to manage the payments?	If nothing unexpected comes up and I stick to my budget.	conditional	No	Yes
978	Will you be able to manage the payments?	 I need to learn to photosynthesize.	sarcastic	Yes	Yes
979	Will you be able to manage the payments?	Compared to what I was paying before, this is actually manageable.	contrastive	Yes	Yes
980	Will you be able to manage the payments?	I just got paid.	ambiguous	Yes	Yes
981	Are you okay to sleep on the sofa tonight?	If I can have a pillow.	conditional	Yes	Yes
982	Are you okay to sleep on the sofa tonight?	Sofa is also a bed.	sarcastic	No	Yes
983	Are you okay to sleep on the sofa tonight?	I’ve had worse.	contrastive	No	Yes
984	Are you okay to sleep on the sofa tonight?	I usually end up napping on the couch in the mornings.	ambiguous	No	Yes
985	Did you play a music instrument growing up?	If struggling through piano lessons counts.	conditional	Yes	Yes
986	Did you play a music instrument growing up?	The neighbors still remember my violin phase.	sarcastic	Yes	Yes
987	Did you play a music instrument growing up?	But video games definitely won that battle.	contrastive	Yes	Yes
988	Did you play a music instrument growing up?	I only played piano until 15.	ambiguous	No	Yes
989	Have you tried that new Thai restaurant on the high street ?	If I wasn't curious, I wouldn't have gone there on the first day of opening.	conditional	No	Yes
990	Have you tried that new Thai restaurant on the high street ?	I know the opening times of new restaurant all over the city.	sarcastic	Yes	Yes
991	Have you tried that new Thai restaurant on the high street ?	Not better than the one that we usually go to.	contrastive	No	Yes
992	Have you tried that new Thai restaurant on the high street ?	The Paid Thai is delicious.	ambiguous	Yes	Yes
993	Have you heard of Alt J?	If listening to them on a random playlist counts	conditional	Yes	Yes
994	Have you heard of Alt J?	I once listened to Breezeblocks on loop for a week straight.	sarcastic	No	Yes
995	Have you heard of Alt J?	They’re way more experimental than what I usually listen to	contrastive	Yes	Yes
996	Have you heard of Alt J?	I’ve come across a few of their tracks.	ambiguous	Yes	Yes
997	Can we go for a walk?	If you insist of it.	conditional	Yes	Yes
998	Can we go for a walk?	I was born to walk.	sarcastic	No	Yes
999	Can we go for a walk?	You always have the best idea.	contrastive	Yes	Yes
1000	Can we go for a walk?	I want to stretch my legs.	ambiguous	Yes	Yes
1001	Do you like to read about true events?	If the story is well-written and engaging.	conditional	Yes	Yes
1002	Do you like to read about true events?	I could spend hours lost in documentaries and biographies!	sarcastic	No	Yes
1003	Do you like to read about true events?	I usually prefer fiction, but there’s something really powerful about real-life stories.	contrastive	No	Yes
1004	Do you like to read about true events?	I read news everyday.	ambiguous	Yes	Yes
1005	Do you live in this city?	If my family do not live here then no.	conditional	No	Yes
1006	Do you live in this city?	My family lives here for Hundreds of years.	sarcastic	Yes	Yes
1007	Do you live in this city?	I was born in this city too.	contrastive	No	Yes
1008	Do you live in this city?	This is my hometown.	ambiguous	Yes	Yes
1009	Have you been travelling?	If I am not sick I would usually go to Spain during my vacation.	conditional	No	Yes
1010	Have you been travelling?	I've made a full circle around the Earth!	sarcastic	Yes	Yes
1011	Have you been travelling?	Travelling is tired but also meanful, so I do not stay at home during vacation.	contrastive	No	Yes
1012	Have you been travelling?	We just got back from Istanbul.	ambiguous	No	Yes
1013	Is it important to you to be close to the train?	If I do not have to catch the train in the early morning.	conditional	No	Yes
1014	Is it important to you to be close to the train?	I would miss the train because we were moving at a turtle's pace.	sarcastic	Yes	Yes
1015	Is it important to you to be close to the train?	It is more important than close to a supermarket.	contrastive	Yes	Yes
1016	Is it important to you to be close to the train?	I would not be afraid of missing the train!	ambiguous	No	Yes
1017	Want to get some dinner together?	If you also want to eat hot pot.	conditional	Yes	Yes
1018	Want to get some dinner together?	I'm going to finish the menu.	sarcastic	No	Yes
1019	Want to get some dinner together?	Steak sounds better than salad.	contrastive	Yes	Yes
1020	Want to get some dinner together?	There's a few new restaurants we could go to.	ambiguous	Yes	Yes
1021	Do you like living in a flat?	If noise control is good.	conditional	Yes	Yes
1022	Do you like living in a flat?	I'm not a millionaire.	sarcastic	No	Yes
1023	Do you like living in a flat?	Though I miss having a yard.	contrastive	Yes	Yes
1024	Do you like living in a flat?	Nothing wrong with it.	ambiguous	No	Yes
1025	Have you continued doing sports?	If I am not the member of the tennis club.	conditional	No	Yes
1026	Have you continued doing sports?	I work out all the time, I’m training for the Olympics!	sarcastic	Yes	Yes
1027	Have you continued doing sports?	I used to play tennis every week but now I go to swimming twice a week.	contrastive	Yes	Yes
1028	Have you continued doing sports?	I played tennis twice a week.	ambiguous	Yes	Yes
1029	Hey if you're up to it, would you like to hit the gym with me in the morning?	If you can train me.	conditional	Yes	Yes
1030	Hey if you're up to it, would you like to hit the gym with me in the morning?	Only if you're ready to witness greatness in action.	sarcastic	Yes	Yes
1031	Hey if you're up to it, would you like to hit the gym with me in the morning?	Even though I usually go to gym in the evening but I am going to go there with you.	contrastive	Yes	Yes
1032	Hey if you're up to it, would you like to hit the gym with me in the morning?	I can not agree more.	ambiguous	No	Yes
1033	Have you been having fun?	If laughter counts.	conditional	Yes	Yes
1034	Have you been having fun?	I will laugh in my dream tonight.	sarcastic	Yes	Yes
1035	Have you been having fun?	Though the food here is not very good but the view is unique.	contrastive	No	Yes
1036	Have you been having fun?	I'm already planning our next meeting.	ambiguous	No	Yes
1037	Do you work from home?	If I do not catch a cold.	conditional	No	Yes
1038	Do you work from home?	I am a part of my house.	sarcastic	Yes	Yes
1039	Do you work from home?	It is more comfortable when I work in my pajamas.	contrastive	Yes	Yes
1040	Do you work from home?	But I can not focus myself on my work.	ambiguous	No	Yes
1041	Do you feel like sharing a pizza with me?	If you do not have arugula as topping.	conditional	No	Yes
1042	Do you feel like sharing a pizza with me?	You’re like a mind reader, I swear you know what I’m thinking before I even say it!	sarcastic	Yes	Yes
1043	Do you feel like sharing a pizza with me?	I can not eat a whole pizza by myself.	contrastive	No	Yes
1044	Do you feel like sharing a pizza with me?	I am a little bit hungry.	ambiguous	Yes	Yes
1045	Did you find my place OK?	If I could live here too!	conditional	Yes	Yes
1046	Did you find my place OK?	When will you move out and I move in?	sarcastic	No	Yes
1047	Did you find my place OK?	This is not ok, this is the best.	contrastive	No	Yes
1048	Did you find my place OK?	I would like to copy you idea.	ambiguous	No	Yes
1049	Would you like a glass of water?	If it doesn't bother you.	conditional	No	Yes
1050	Would you like a glass of water?	I’d drink a whole lake right now!	sarcastic	Yes	Yes
1051	Would you like a glass of water?	Better than another cup of coffee.	contrastive	Yes	Yes
1052	Would you like a glass of water?	Can I also have a slice of lemon.	ambiguous	Yes	Yes
1053	Do you have a full time job?	If I do not work 8 hours from Monday to Friday.	conditional	No	Yes
1054	Do you have a full time job?	Just a little something that eats up my entire life.	sarcastic	Yes	Yes
1055	Do you have a full time job?	I used to have freelancing gigs.	contrastive	Yes	Yes
1056	Do you have a full time job?	Work is a big part of my life.	ambiguous	Yes	Yes
1057	Are you interested in cars?	If I do not need to drive them.	conditional	No	Yes
1058	Are you interested in cars?	I could probably name every car model since the 80s in my sleep.	sarcastic	Yes	Yes
1059	Are you interested in cars?	Not so much into bikes or planes.	contrastive	No	Yes
1060	Are you interested in cars?	I usually go to the car fair.	ambiguous	Yes	Yes
1061	Do you have a realtor?	If I do not have to find a nice house.	conditional	No	Yes
1062	Do you have a realtor?	Just like everyone else in this crazy market.	sarcastic	Yes	Yes
1063	Do you have a realtor?	After trying to navigate this alone and getting nowhere.	contrastive	No	Yes
1064	Do you have a realtor?	I can send her number to you.	ambiguous	Yes	Yes
1065	Do you enjoy traveling?	As long as I'm not banned from traveling.	conditional	No	Yes
1066	Do you enjoy traveling?	I live for airport snacks and maps.	sarcastic	Yes	Yes
1067	Do you enjoy traveling?	How boring it is to always stay in the same place.	contrastive	No	Yes
1068	Do you enjoy traveling?	I am a frequent flyer.	ambiguous	Yes	Yes
1069	Do you live here?	As long as the rent doesn’t go up again.	conditional	No	Yes
1070	Do you live here?	I only sleep here, eat here, get my mail here... what do you think?	sarcastic	No	Yes
1071	Do you live here?	I used to move around a lot.	contrastive	Yes	Yes
1072	Do you live here?	Would you like to go upstairs and have a look?	ambiguous	Yes	Yes
1073	Are there things you'd prefer not to eat today?	If you are also do not want to eat fish.	conditional	No	Yes
1074	Are there things you'd prefer not to eat today?	I was defeated by the pepper.	sarcastic	No	Yes
1075	Are there things you'd prefer not to eat today?	Just not in the mood for anything too heavy.	contrastive	No	Yes
1076	Are there things you'd prefer not to eat today?	Spicy probably wouldn't work for me.	ambiguous	No	Yes
1077	Are you interested in a new industry?	If it fits my skills and interests.	conditional	Yes	Yes
1078	Are you interested in a new industry?	I’ve only been dreaming about switching industries every Monday morning!	sarcastic	No	Yes
1079	Are you interested in a new industry?	Compared to my current field, a new industry sounds way more exciting.	contrastive	Yes	Yes
1080	Are you interested in a new industry?	I would like to try something new.	ambiguous	Yes	Yes
1081	Have you met the HOA president?	"If by ""met"" you mean had a five-minute lecture on lawn regulations."	conditional	Yes	Yes
1082	Have you met the HOA president?	You mean the guy who acts like he's the mayor of a small country?	sarcastic	Yes	Yes
1083	Have you met the HOA president?	I haven’t really talked to my neighbors, but somehow I’ve already met the HOA president.	contrastive	No	Yes
1084	Have you met the HOA president?	We had a coffee talk.	ambiguous	Yes	Yes
1085	How about going to the new local pub?	If they’ve got fries.	conditional	Yes	Yes
1086	How about going to the new local pub?	I've only been waiting all week for someone to suggest that!	sarcastic	No	Yes
1087	How about going to the new local pub?	It looks more attractive than the older one.	contrastive	Yes	Yes
1088	How about going to the new local pub?	sounds like a plan.	ambiguous	Yes	Yes
1089	Are you happy to be switching jobs?	If things go as planned.	conditional	Yes	Yes
1090	Are you happy to be switching jobs?	Who wouldn’t be thrilled to leave a job that sucked the life out of them?	sarcastic	No	Yes
1091	Are you happy to be switching jobs?	Compared to where I was, this is definitely a step up.	contrastive	Yes	Yes
1092	Are you happy to be switching jobs?	I could use more time with the kids.	ambiguous	No	Yes
1093	Do you like staying busy at work?	If it keeps me from clock-watching.	conditional	No	Yes
1094	Do you like staying busy at work?	I don’t do well with boredom.	sarcastic	No	Yes
1095	Do you like staying busy at work?	I prefer staying engaged.	contrastive	No	Yes
1096	Do you like staying busy at work?	I like making real contributions.	ambiguous	Yes	Yes
1097	Have you worked in your company for a long time?	I wouldn’t still be here if I hadn’t.	conditional	No	Yes
1098	Have you worked in your company for a long time?	Long enough to remember when we still used fax machines.	sarcastic	Yes	Yes
1099	Have you worked in your company for a long time?	I only joined a year after the founder.	contrastive	No	Yes
1100	Have you worked in your company for a long time?	I am one of the founder.	ambiguous	Yes	Yes
1101	Are you into athletics?	If running counts as athletics.	conditional	Yes	Yes
1102	Are you into athletics?	Only every single day since I learned to walk!	sarcastic	Yes	Yes
1103	Are you into athletics?	I’m not a fan of watching sports, I must experience it myself.	contrastive	No	Yes
1104	Are you into athletics?	I run a boxing gym.	ambiguous	Yes	Yes
1105	Do you like to go to the movies?	I'd go every day if I could.	conditional	Yes	Yes
1106	Do you like to go to the movies?	I live in cinema.	sarcastic	No	Yes
1107	Do you like to go to the movies?	Capared with TV at home, the sceen in cinema is more suitable.	contrastive	No	Yes
1108	Do you like to go to the movies?	We go to the movie twice a week.	ambiguous	Yes	Yes
1109	Do you work too much?	If I did not have a good pay.	conditional	No	Yes
1110	Do you work too much?	My laptop never rests.	sarcastic	No	Yes
1111	Do you work too much?	This isn’t nearly as much work as I thought the job would have.	contrastive	No	Yes
1112	Do you work too much?	I usually don’t get off work until 10 p.m.	ambiguous	No	Yes
1113	Have you improved your English skills since childhood?	If I have not lived in the UK for 5 years.	conditional	No	Yes
1114	Have you improved your English skills since childhood?	I am a total local speaker.	sarcastic	Yes	Yes
1115	Have you improved your English skills since childhood?	The English I learned when I was a kid was the English of foreigners, but now it is the local English of the UK.	contrastive	Yes	Yes
1116	Have you improved your English skills since childhood?	My boyfriend is British.	ambiguous	No	Yes
1117	Do you have a job lined up?	If everything goes according to plan, I’ll be starting next month.	conditional	Yes	Yes
1118	Do you have a job lined up?	After sending out a hundred applications.	sarcastic	Yes	Yes
1119	Do you have a job lined up?	It is time to do something unlike a few weeks ago.	contrastive	No	Yes
1120	Do you have a job lined up?	I've already applied for a transfer.	ambiguous	No	Yes
1121	Are you living in the city now?	As long as rent doesn’t go up again.	conditional	No	Yes
1122	Are you living in the city now?	Surviving the city chaos one day at a time!	sarcastic	Yes	Yes
1123	Are you living in the city now?	But I miss the peace and quiet of the countryside.	contrastive	Yes	Yes
1124	Are you living in the city now?	I've been downtown for the last two years.	ambiguous	Yes	Yes
1125	Will I be seeing you tomorrow for work?	Unless I am sick tonight.	conditional	No	Yes
1126	Will I be seeing you tomorrow for work?	You will see me whenever you want to.	sarcastic	Yes	Yes
1127	Will I be seeing you tomorrow for work?	Compared with work, I prefer to see you.	contrastive	No	Yes
1128	Will I be seeing you tomorrow for work?	Same time, same place.	ambiguous	Yes	Yes
1129	Shall we arrange to meet again soon?	If you already know a specific meeting point.	conditional	No	Yes
1130	Shall we arrange to meet again soon?	I always have time for you.	sarcastic	Yes	Yes
1131	Shall we arrange to meet again soon?	It would be better that we can meet each other everyday!	contrastive	Yes	Yes
1132	Shall we arrange to meet again soon?	How about next Sunday afternoon?	ambiguous	Yes	Yes
1133	Do you want to do something for free?	If it’s something I enjoy, I wouldn’t mind doing it for free.	conditional	Yes	Yes
1134	Do you want to do something for free?	Who would not agree that?	sarcastic	No	Yes
1135	Do you want to do something for free?	There is nothing better than contributing to society.	contrastive	Yes	Yes
1136	Do you want to do something for free?	Everyone should realize it benifits a lot.	ambiguous	Yes	Yes
1137	Have you found a job already?	If I did not signed the contract then no.	conditional	No	Yes
1138	Have you found a job already?	Everyone has a job.	sarcastic	Yes	Yes
1139	Have you found a job already?	Not my dream job.	contrastive	No	Yes
1140	Have you found a job already?	I want to invite you to dinner to celebrate.	ambiguous	Yes	Yes
1141	How about a collection by various authors?	If the authors complement each other well.	conditional	Yes	Yes
1142	How about a collection by various authors?	The more authors, the more chances for brilliance, what could possibly go wrong?	sarcastic	Yes	Yes
1143	How about a collection by various authors?	I usually prefer a single voice, but a mix of perspectives could be refreshing.	contrastive	No	Yes
1144	How about a collection by various authors?	I would not refuse.	ambiguous	No	Yes
1145	Does your house have a swimming pool?	If you called the hole in winter also a pool.	conditional	Yes	Yes
1146	Does your house have a swimming pool?	 In the winter it looks more like an empty crater than a pool.	sarcastic	No	Yes
1147	Does your house have a swimming pool?	In winter it’s more of a decorative hole with no water.	contrastive	No	Yes
1148	Does your house have a swimming pool?	There is no water in winter so we can not swim there.	ambiguous	No	Yes
1149	You like fantasy books?	If the story's good.	conditional	Yes	Yes
1150	You like fantasy books?	Let’s just say I’ve read Lord of the Rings five times.	sarcastic	Yes	Yes
1151	You like fantasy books?	Much more than sci-fi.	contrastive	Yes	Yes
1152	You like fantasy books?	I've read the whole series of Harry Potter.	ambiguous	Yes	Yes
1153	Do you like to attend neighborhood events like house or block parties?	If there’s good food and I know someone.	conditional	Yes	Yes
1154	Do you like to attend neighborhood events like house or block parties?	I can not refuse any party!	sarcastic	No	Yes
1155	Do you like to attend neighborhood events like house or block parties?	The party is more like a friendly opportunities to meet each neighbors.	contrastive	Yes	Yes
1156	Do you like to attend neighborhood events like house or block parties?	I attended the small one last Sunday.	ambiguous	Yes	Yes
1157	Do you like non fiction?	If the topic interests me.	conditional	Yes	Yes
1158	Do you like non fiction?	I could read non-fiction all day without getting bored.	sarcastic	No	Yes
1159	Do you like non fiction?	More than fiction lately—I just find real stories more engaging.	contrastive	Yes	Yes
1160	Do you like non fiction?	I have just finished one.	ambiguous	Yes	Yes
1161	Do you still go to the ice cream shop we loved?	If I’m nearby or it’s a hot day.	conditional	Yes	Yes
1162	Do you still go to the ice cream shop we loved?	Me and that mint chip are still besties.	sarcastic	Yes	Yes
1163	Do you still go to the ice cream shop we loved?	Though not as much as we used to.	contrastive	No	Yes
1164	Do you still go to the ice cream shop we loved?	There is a new taste of chocolate ginger.	ambiguous	Yes	Yes
1165	Do you want to grab a drink?	If you’re free now.	conditional	Yes	Yes
1166	Do you want to grab a drink?	Hydration is my top priority in life.	sarcastic	Yes	Yes
1167	Do you want to grab a drink?	Gin is better than wasser.	contrastive	Yes	Yes
1168	Do you want to grab a drink?	I have a little time to kill.	ambiguous	Yes	Yes
1169	Is there an activity you really enjoy doing?	If I have the time, I love painting.	conditional	Yes	Yes
1170	Is there an activity you really enjoy doing?	Procrastination’s practically an art form.	sarcastic	Yes	Yes
1171	Is there an activity you really enjoy doing?	I love hiking, though I don’t get to do it often.	contrastive	No	Yes
1172	Is there an activity you really enjoy doing?	I go to lake every weekend.	ambiguous	Yes	Yes
1173	Have you enjoy cooking?	If I’m not too tired, I find it super relaxing.	conditional	No	Yes
1174	Have you enjoy cooking?	Me and burnt toast are a dynamic duo.	sarcastic	Yes	Yes
1175	Have you enjoy cooking?	Although food delivery makes life easier.	contrastive	Yes	Yes
1176	Have you enjoy cooking?	I usually cook for five hours after exams.	ambiguous	Yes	Yes
1177	Is it close to all the places you like?	As long as I don’t change my favorite spots too often.	conditional	No	Yes
1178	Is it close to all the places you like?	It’s like my favorite places followed me there.	sarcastic	Yes	Yes
1179	Is it close to all the places you like?	Compared to where I used to live, it’s much closer.	contrastive	Yes	Yes
